# name, smd?, value, package, component, x, y, angle
FID1, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 12.70, 12.70, 0.00
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 19.05, 74.30, 270.00
FID1X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 39.37, 74.30, 270.00
FID1X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 59.69, 74.30, 270.00
FID1X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 80.01, 74.30, 270.00
FID2, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 93.98, 78.74, 0.00
FID2X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 28.58, 37.47, 270.00
FID2X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 48.90, 37.47, 270.00
FID2X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 69.22, 37.47, 270.00
FID2X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 89.54, 37.47, 270.00
FID3, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 12.70, 91.44, 0.00
FID3X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 12.07, 37.47, 270.00
FID3X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 32.38, 37.47, 270.00
FID3X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 52.71, 37.47, 270.00
FID3X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 73.03, 37.47, 270.00
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX21, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX31, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX41, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
J1X11, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J1X21, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J1X31, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J1X41, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
LED0X11, SMD, , 0603-LED, -0603-led, 25.40, 27.94, 270.00
LED0X21, SMD, , 0603-LED, -0603-led, 45.72, 27.94, 270.00
LED0X31, SMD, , 0603-LED, -0603-led, 66.04, 27.94, 270.00
LED0X41, SMD, , 0603-LED, -0603-led, 86.36, 27.94, 270.00
LED1X11, SMD, , 0603-LED, -0603-led, 21.59, 27.94, 270.00
LED1X21, SMD, , 0603-LED, -0603-led, 41.91, 27.94, 270.00
