# name, smd?, value, package, component, x, y, angle
C1, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 12.07, 25.40, 90.00
C2, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 8.89, 25.40, 90.00
C3, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 5.71, 25.40, 90.00
C4, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 2.54, 25.40, 90.00
CON1, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
D1, SMD, , SOT323R, -sot323r, 12.07, 21.59, 180.00
D2, SMD, , SOT323R, -sot323r, 8.89, 21.59, 180.00
D3, SMD, , SOT323R, -sot323r, 5.71, 21.59, 180.00
D4, SMD, , SOT323R, -sot323r, 2.54, 21.59, 180.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 7.75, 48.90, 270.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 18.41, 1.91, 270.00
IOB, PTH, CONNECTOR-IO4-IOBBARE, IO4-IOB, connector-io4-iobbare-io4-iob, 0.00, 0.00, 270.00
J1, PTH, RJ12/6, RJ25-PANEL, rj12/6-rj25-panel, 0.00, 0.00, 180.00
LED1, SMD, Y, 0603-LED, y-0603-led, 15.24, 2.54, 270.00
LED2, SMD, Y, 0603-LED, y-0603-led, 11.43, 2.54, 270.00
LED3, SMD, Y, 0603-LED, y-0603-led, 7.62, 2.54, 270.00
LED4, SMD, Y, 0603-LED, y-0603-led, 3.81, 2.54, 270.00
Q0, SMD, P-FET, SOT23, p-fet-sot23, 15.24, 6.99, 180.00
Q1, SMD, P-FET, SOT23, p-fet-sot23, 11.43, 6.99, 180.00
Q2, SMD, P-FET, SOT23, p-fet-sot23, 7.62, 6.99, 180.00
Q3, SMD, P-FET, SOT23, p-fet-sot23, 3.81, 6.99, 180.00
R1, SMD, 2K0, 0805-RES, 2k0-0805-res, 13.34, 4.45, 90.00
R2, SMD, 2K0, 0805-RES, 2k0-0805-res, 9.53, 4.45, 90.00
R3, SMD, 2K0, 0805-RES, 2k0-0805-res, 5.71, 4.45, 90.00
R4, SMD, 2K0, 0805-RES, 2k0-0805-res, 1.91, 4.45, 90.00
R5, SMD, 1K0, 0805-RES, 1k0-0805-res, 13.08, 17.27, 90.00
R6, SMD, 1K0, 0805-RES, 1k0-0805-res, 9.91, 17.27, 90.00
R7, SMD, 1K0, 0805-RES, 1k0-0805-res, 6.73, 17.27, 90.00
R8, SMD, 1K0, 0805-RES, 1k0-0805-res, 3.56, 17.27, 90.00
R9, SMD, 82R, 0805-RES, 82r-0805-res, 10.16, 31.75, 90.00
R10, SMD, 82R, 0805-RES, 82r-0805-res, 7.62, 31.75, 90.00
R11, SMD, 82R, 0805-RES, 82r-0805-res, 5.08, 31.75, 90.00
R12, SMD, 82R, 0805-RES, 82r-0805-res, 2.54, 31.75, 90.00
VIN, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
