# name, smd?, value, package, component, x, y, angle, YXAngle
C1X11, SMD, , 0603-CAP, -0603-cap, 52.45, 22.35, 180.00, -90.00
C1X12, SMD, , 0603-CAP, -0603-cap, 52.45, 42.67, 180.00, -90.00
C1X13, SMD, , 0603-CAP, -0603-cap, 52.45, 62.99, 180.00, -90.00
C1X14, SMD, , 0603-CAP, -0603-cap, 52.45, 83.31, 180.00, -90.00
C2X11, SMD, , 0603-CAP, -0603-cap, 52.45, 19.05, 180.00, -90.00
C2X12, SMD, , 0603-CAP, -0603-cap, 52.45, 39.37, 180.00, -90.00
C2X13, SMD, , 0603-CAP, -0603-cap, 52.45, 59.69, 180.00, -90.00
C2X14, SMD, , 0603-CAP, -0603-cap, 52.45, 80.01, 180.00, -90.00
C3X11, SMD, , 0603-CAP, -0603-cap, 52.45, 15.75, 180.00, -90.00
C3X12, SMD, , 0603-CAP, -0603-cap, 52.45, 36.07, 180.00, -90.00
C3X13, SMD, , 0603-CAP, -0603-cap, 52.45, 56.39, 180.00, -90.00
C3X14, SMD, , 0603-CAP, -0603-cap, 52.45, 76.71, 180.00, -90.00
C4X11, SMD, , 0603-CAP, -0603-cap, 52.45, 12.45, 180.00, -90.00
C4X12, SMD, , 0603-CAP, -0603-cap, 52.45, 32.77, 180.00, -90.00
C4X13, SMD, , 0603-CAP, -0603-cap, 52.45, 53.09, 180.00, -90.00
C4X14, SMD, , 0603-CAP, -0603-cap, 52.45, 73.41, 180.00, -90.00
D1X11, SMD, , SOT323R, -sot323r, 56.26, 22.35, 270.00, 180.00
D1X12, SMD, , SOT323R, -sot323r, 56.26, 42.67, 270.00, 180.00
D1X13, SMD, , SOT323R, -sot323r, 56.26, 62.99, 270.00, 180.00
D1X14, SMD, , SOT323R, -sot323r, 56.26, 83.31, 270.00, 180.00
D2X11, SMD, , SOT323R, -sot323r, 56.26, 19.05, 270.00, 180.00
D2X12, SMD, , SOT323R, -sot323r, 56.26, 39.37, 270.00, 180.00
