# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 27.05, 3.56, 180.00, -180.00
C2, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 27.05, 6.86, 180.00, -180.00
C3, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 27.05, 10.16, 180.00, -180.00
C4, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 27.05, 13.46, 180.00, -180.00
D1, SMD, BAT54S, SOT23, bat54s-sot23, 30.86, 3.56, 180.00, -180.00
D2, SMD, BAT54S, SOT23, bat54s-sot23, 30.86, 6.86, 180.00, -180.00
D3, SMD, BAT54S, SOT23, bat54s-sot23, 30.86, 10.16, 180.00, -180.00
D4, SMD, BAT54S, SOT23, bat54s-sot23, 30.86, 13.46, 180.00, -180.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 1.40, 0.00, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 18.41, 0.00, 0.00
IOB, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
J1, PTH, RJ12/6, RJ24-INVERTED-PINS, rj12/6-rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
R1, SMD, 82R, 0805-RES, 82r-0805-res, 20.70, 3.56, 180.00, -180.00
R2, SMD, 82R, 0805-RES, 82r-0805-res, 20.70, 6.99, 180.00, -180.00
R3, SMD, 82R, 0805-RES, 82r-0805-res, 20.70, 10.16, 180.00, -180.00
R4, SMD, 82R, 0805-RES, 82r-0805-res, 20.70, 13.46, 180.00, -180.00
R5, SMD, 1K0, 0603-RES, 1k0-0603-res, 34.80, 3.56, 180.00, -180.00
R6, SMD, 1K0, 0603-RES, 1k0-0603-res, 34.80, 6.86, 180.00, -180.00
R7, SMD, 1K0, 0603-RES, 1k0-0603-res, 34.80, 10.16, 180.00, -180.00
R8, SMD, 1K0, 0603-RES, 1k0-0603-res, 34.80, 13.46, 180.00, -180.00
