# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 12.45, 180.00, -180.00
C1X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 32.77, 180.00, -180.00
C1X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 53.09, 180.00, -180.00
C1X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 73.41, 180.00, -180.00
C2X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 15.75, 180.00, -180.00
C2X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 36.07, 180.00, -180.00
C2X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 56.39, 180.00, -180.00
C2X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 76.71, 180.00, -180.00
C3X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 19.05, 180.00, -180.00
C3X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 39.37, 180.00, -180.00
C3X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 59.69, 180.00, -180.00
C3X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 80.01, 180.00, -180.00
C4X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 22.35, 180.00, -180.00
C4X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 42.67, 180.00, -180.00
C4X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 62.99, 180.00, -180.00
C4X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 52.45, 83.31, 180.00, -180.00
D1X11, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 12.45, 180.00, -180.00
D1X12, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 32.77, 180.00, -180.00
D1X13, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 53.09, 180.00, -180.00
D1X14, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 73.41, 180.00, -180.00
D2X11, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 15.75, 180.00, -180.00
D2X12, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 36.07, 180.00, -180.00
D2X13, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 56.39, 180.00, -180.00
D2X14, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 76.71, 180.00, -180.00
D3X11, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 19.05, 180.00, -180.00
D3X12, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 39.37, 180.00, -180.00
D3X13, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 59.69, 180.00, -180.00
D3X14, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 80.01, 180.00, -180.00
D4X11, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 22.35, 180.00, -180.00
D4X12, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 42.67, 180.00, -180.00
D4X13, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 62.99, 180.00, -180.00
D4X14, SMD, BAT54S, SOT23, bat54s-sot23, 56.26, 83.31, 180.00, -180.00
FID-LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 80.65, 6.99, 0.00, 0.00
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 23.50, 92.08, 0.00, 0.00
FID1X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 10.29, 0.00, 0.00
FID1X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 30.61, 0.00, 0.00
FID1X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 50.93, 0.00, 0.00
FID1X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 71.25, 0.00, 0.00
FID2X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 27.30, 0.00, 0.00
