# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1X11, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X12, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X13, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X14, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X15, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X21, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X22, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X23, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X24, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X25, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X31, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X32, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X33, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X34, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X35, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X41, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X42, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X43, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X44, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X45, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X51, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X52, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X53, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X54, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
CON1X55, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00, -180.00
FID-LR, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 91.00, 8.00, 0.00, 0.00
FID-UL, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 2.00, 92.00, 0.00, 0.00
LED1X11, SMD, Y, 0603-LED, y-0603-led, 13.97, 23.97, 270.00, 90.00
LED1X12, SMD, Y, 0603-LED, y-0603-led, 13.97, 39.97, 270.00, 90.00
LED1X13, SMD, Y, 0603-LED, y-0603-led, 13.97, 55.97, 270.00, 90.00
LED1X14, SMD, Y, 0603-LED, y-0603-led, 13.97, 71.98, 270.00, 90.00
LED1X15, SMD, Y, 0603-LED, y-0603-led, 13.97, 87.98, 270.00, 90.00
LED1X21, SMD, Y, 0603-LED, y-0603-led, 31.75, 23.97, 270.00, 90.00
LED1X22, SMD, Y, 0603-LED, y-0603-led, 31.75, 39.97, 270.00, 90.00
LED1X23, SMD, Y, 0603-LED, y-0603-led, 31.75, 55.97, 270.00, 90.00
LED1X24, SMD, Y, 0603-LED, y-0603-led, 31.75, 71.98, 270.00, 90.00
LED1X25, SMD, Y, 0603-LED, y-0603-led, 31.75, 87.98, 270.00, 90.00
LED1X31, SMD, Y, 0603-LED, y-0603-led, 49.53, 23.97, 270.00, 90.00
LED1X32, SMD, Y, 0603-LED, y-0603-led, 49.53, 39.97, 270.00, 90.00
LED1X33, SMD, Y, 0603-LED, y-0603-led, 49.53, 55.97, 270.00, 90.00
LED1X34, SMD, Y, 0603-LED, y-0603-led, 49.53, 71.98, 270.00, 90.00
LED1X35, SMD, Y, 0603-LED, y-0603-led, 49.53, 87.98, 270.00, 90.00
LED1X41, SMD, Y, 0603-LED, y-0603-led, 67.31, 23.97, 270.00, 90.00
LED1X42, SMD, Y, 0603-LED, y-0603-led, 67.31, 39.97, 270.00, 90.00
LED1X43, SMD, Y, 0603-LED, y-0603-led, 67.31, 55.97, 270.00, 90.00
LED1X44, SMD, Y, 0603-LED, y-0603-led, 67.31, 71.98, 270.00, 90.00
LED1X45, SMD, Y, 0603-LED, y-0603-led, 67.31, 87.98, 270.00, 90.00
LED1X51, SMD, Y, 0603-LED, y-0603-led, 85.09, 23.97, 270.00, 90.00
LED1X52, SMD, Y, 0603-LED, y-0603-led, 85.09, 39.97, 270.00, 90.00
LED1X53, SMD, Y, 0603-LED, y-0603-led, 85.09, 55.97, 270.00, 90.00
LED1X54, SMD, Y, 0603-LED, y-0603-led, 85.09, 71.98, 270.00, 90.00
LED1X55, SMD, Y, 0603-LED, y-0603-led, 85.09, 87.98, 270.00, 90.00
LED2X11, SMD, Y, 0603-LED, y-0603-led, 10.16, 23.97, 270.00, 90.00
LED2X12, SMD, Y, 0603-LED, y-0603-led, 10.16, 39.97, 270.00, 90.00
LED2X13, SMD, Y, 0603-LED, y-0603-led, 10.16, 55.97, 270.00, 90.00
LED2X14, SMD, Y, 0603-LED, y-0603-led, 10.16, 71.98, 270.00, 90.00
LED2X15, SMD, Y, 0603-LED, y-0603-led, 10.16, 87.98, 270.00, 90.00
LED2X21, SMD, Y, 0603-LED, y-0603-led, 27.94, 23.97, 270.00, 90.00
LED2X22, SMD, Y, 0603-LED, y-0603-led, 27.94, 39.97, 270.00, 90.00
LED2X23, SMD, Y, 0603-LED, y-0603-led, 27.94, 55.97, 270.00, 90.00
LED2X24, SMD, Y, 0603-LED, y-0603-led, 27.94, 71.98, 270.00, 90.00
LED2X25, SMD, Y, 0603-LED, y-0603-led, 27.94, 87.98, 270.00, 90.00
LED2X31, SMD, Y, 0603-LED, y-0603-led, 45.72, 23.97, 270.00, 90.00
LED2X32, SMD, Y, 0603-LED, y-0603-led, 45.72, 39.97, 270.00, 90.00
LED2X33, SMD, Y, 0603-LED, y-0603-led, 45.72, 55.97, 270.00, 90.00
LED2X34, SMD, Y, 0603-LED, y-0603-led, 45.72, 71.98, 270.00, 90.00
LED2X35, SMD, Y, 0603-LED, y-0603-led, 45.72, 87.98, 270.00, 90.00
LED2X41, SMD, Y, 0603-LED, y-0603-led, 63.50, 23.97, 270.00, 90.00
LED2X42, SMD, Y, 0603-LED, y-0603-led, 63.50, 39.97, 270.00, 90.00
LED2X43, SMD, Y, 0603-LED, y-0603-led, 63.50, 55.97, 270.00, 90.00
LED2X44, SMD, Y, 0603-LED, y-0603-led, 63.50, 71.98, 270.00, 90.00
LED2X45, SMD, Y, 0603-LED, y-0603-led, 63.50, 87.98, 270.00, 90.00
LED2X51, SMD, Y, 0603-LED, y-0603-led, 81.28, 23.97, 270.00, 90.00
LED2X52, SMD, Y, 0603-LED, y-0603-led, 81.28, 39.97, 270.00, 90.00
LED2X53, SMD, Y, 0603-LED, y-0603-led, 81.28, 55.97, 270.00, 90.00
LED2X54, SMD, Y, 0603-LED, y-0603-led, 81.28, 71.98, 270.00, 90.00
LED2X55, SMD, Y, 0603-LED, y-0603-led, 81.28, 87.98, 270.00, 90.00
LED3X11, SMD, Y, 0603-LED, y-0603-led, 6.35, 23.97, 270.00, 90.00
LED3X12, SMD, Y, 0603-LED, y-0603-led, 6.35, 39.97, 270.00, 90.00
LED3X13, SMD, Y, 0603-LED, y-0603-led, 6.35, 55.97, 270.00, 90.00
LED3X14, SMD, Y, 0603-LED, y-0603-led, 6.35, 71.98, 270.00, 90.00
LED3X15, SMD, Y, 0603-LED, y-0603-led, 6.35, 87.98, 270.00, 90.00
LED3X21, SMD, Y, 0603-LED, y-0603-led, 24.13, 23.97, 270.00, 90.00
LED3X22, SMD, Y, 0603-LED, y-0603-led, 24.13, 39.97, 270.00, 90.00
LED3X23, SMD, Y, 0603-LED, y-0603-led, 24.13, 55.97, 270.00, 90.00
LED3X24, SMD, Y, 0603-LED, y-0603-led, 24.13, 71.98, 270.00, 90.00
LED3X25, SMD, Y, 0603-LED, y-0603-led, 24.13, 87.98, 270.00, 90.00
LED3X31, SMD, Y, 0603-LED, y-0603-led, 41.91, 23.97, 270.00, 90.00
LED3X32, SMD, Y, 0603-LED, y-0603-led, 41.91, 39.97, 270.00, 90.00
LED3X33, SMD, Y, 0603-LED, y-0603-led, 41.91, 55.97, 270.00, 90.00
LED3X34, SMD, Y, 0603-LED, y-0603-led, 41.91, 71.98, 270.00, 90.00
LED3X35, SMD, Y, 0603-LED, y-0603-led, 41.91, 87.98, 270.00, 90.00
LED3X41, SMD, Y, 0603-LED, y-0603-led, 59.69, 23.97, 270.00, 90.00
LED3X42, SMD, Y, 0603-LED, y-0603-led, 59.69, 39.97, 270.00, 90.00
LED3X43, SMD, Y, 0603-LED, y-0603-led, 59.69, 55.97, 270.00, 90.00
LED3X44, SMD, Y, 0603-LED, y-0603-led, 59.69, 71.98, 270.00, 90.00
LED3X45, SMD, Y, 0603-LED, y-0603-led, 59.69, 87.98, 270.00, 90.00
LED3X51, SMD, Y, 0603-LED, y-0603-led, 77.47, 23.97, 270.00, 90.00
LED3X52, SMD, Y, 0603-LED, y-0603-led, 77.47, 39.97, 270.00, 90.00
LED3X53, SMD, Y, 0603-LED, y-0603-led, 77.47, 55.97, 270.00, 90.00
LED3X54, SMD, Y, 0603-LED, y-0603-led, 77.47, 71.98, 270.00, 90.00
LED3X55, SMD, Y, 0603-LED, y-0603-led, 77.47, 87.98, 270.00, 90.00
LED4X11, SMD, Y, 0603-LED, y-0603-led, 2.54, 23.97, 270.00, 90.00
LED4X12, SMD, Y, 0603-LED, y-0603-led, 2.54, 39.97, 270.00, 90.00
LED4X13, SMD, Y, 0603-LED, y-0603-led, 2.54, 55.97, 270.00, 90.00
LED4X14, SMD, Y, 0603-LED, y-0603-led, 2.54, 71.98, 270.00, 90.00
LED4X15, SMD, Y, 0603-LED, y-0603-led, 2.54, 87.98, 270.00, 90.00
