# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
LED1, SMD, Y, 0603-LED, y-0603-led, 13.97, 13.97, 270.00, 90.00
LED2, SMD, Y, 0603-LED, y-0603-led, 10.16, 13.97, 270.00, 90.00
LED3, SMD, Y, 0603-LED, y-0603-led, 6.35, 13.97, 270.00, 90.00
LED4, SMD, Y, 0603-LED, y-0603-led, 2.54, 13.97, 270.00, 90.00
Q1, SMD, P-FET, SOT23, p-fet-sot23, 13.97, 6.35, 270.00, 90.00
Q2, SMD, P-FET, SOT23, p-fet-sot23, 10.16, 6.35, 270.00, 90.00
Q3, SMD, P-FET, SOT23, p-fet-sot23, 6.35, 6.35, 270.00, 90.00
Q4, SMD, P-FET, SOT23, p-fet-sot23, 2.54, 6.35, 270.00, 90.00
R1, SMD, 2K0, 0805-RES, 2k0-0805-res, 13.97, 10.16, 270.00, 90.00
R2, SMD, 2K0, 0805-RES, 2k0-0805-res, 10.16, 10.16, 270.00, 90.00
R3, SMD, 2K0, 0805-RES, 2k0-0805-res, 6.35, 10.16, 270.00, 90.00
R4, SMD, 2K0, 0805-RES, 2k0-0805-res, 2.54, 10.16, 270.00, 90.00
