# name, smd?, value, package, component, x, y, angle
CON1, PTH, CONNECTOR-IO4STD, IO4-RJ12, connector-io4std-io4-rj12, 0.00, 0.00, 180.00
IOB, PTH, CONNECTOR-IO4-IOBBARE, IO4-IOB, connector-io4-iobbare-io4-iob, 0.00, 0.00, 270.00
JP1, PTH, VIN, 1X03, vin-1x03, 0.00, 0.00, 0.00
LED1, SMD, Y, 0603-LED, y-0603-led, 3.81, 2.54, 270.00
LED2, SMD, Y, 0603-LED, y-0603-led, 7.62, 2.54, 270.00
LED3, SMD, Y, 0603-LED, y-0603-led, 11.43, 2.54, 270.00
LED4, SMD, Y, 0603-LED, y-0603-led, 15.24, 2.54, 270.00
Q1, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 4.45, 26.72, 0.00
Q2, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 8.89, 26.72, 0.00
Q3, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 13.34, 26.72, 0.00
Q4, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 17.78, 26.72, 0.00
Q5, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 3.76, 15.24, 90.00
Q6, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 12.65, 15.24, 90.00
Q7, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 8.21, 15.24, 90.00
Q8, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 17.10, 15.24, 90.00
Q9, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 3.81, 6.94, 180.00
Q10, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 7.62, 6.94, 180.00
Q11, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 11.43, 6.94, 180.00
Q12, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 15.24, 6.94, 180.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 2.54, 21.59, 90.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 6.99, 21.59, 90.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 11.43, 21.59, 90.00
R4, SMD, 10k, 0805-RES, 10k-0805-res, 15.88, 21.59, 90.00
R5, SMD, 2K2, 0805-RES, 2k2-0805-res, 1.91, 4.45, 90.00
R6, SMD, 2K2, 0805-RES, 2k2-0805-res, 5.71, 4.45, 90.00
R7, SMD, 2K2, 0805-RES, 2k2-0805-res, 9.53, 4.45, 90.00
R8, SMD, 2K2, 0805-RES, 2k2-0805-res, 13.34, 4.45, 90.00
