# name, smd?, value, package, component, x, y, angle
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX21, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX31, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX41, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
J1X11, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X21, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X31, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X41, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
JP1X11, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
JP1X21, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
JP1X31, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
JP1X41, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
LED1X11, SMD, , 0603-LED, -0603-led, 13.97, 27.94, 270.00
LED1X21, SMD, , 0603-LED, -0603-led, 34.29, 27.94, 270.00
LED1X31, SMD, , 0603-LED, -0603-led, 54.61, 27.94, 270.00
LED1X41, SMD, , 0603-LED, -0603-led, 74.93, 27.94, 270.00
LED2X11, SMD, , 0603-LED, -0603-led, 17.78, 27.94, 270.00
LED2X21, SMD, , 0603-LED, -0603-led, 38.10, 27.94, 270.00
LED2X31, SMD, , 0603-LED, -0603-led, 58.42, 27.94, 270.00
LED2X41, SMD, , 0603-LED, -0603-led, 78.74, 27.94, 270.00
LED3X11, SMD, , 0603-LED, -0603-led, 21.59, 27.94, 270.00
LED3X21, SMD, , 0603-LED, -0603-led, 41.91, 27.94, 270.00
LED3X31, SMD, , 0603-LED, -0603-led, 62.23, 27.94, 270.00
LED3X41, SMD, , 0603-LED, -0603-led, 82.55, 27.94, 270.00
LED4X11, SMD, , 0603-LED, -0603-led, 25.40, 27.94, 270.00
LED4X21, SMD, , 0603-LED, -0603-led, 45.72, 27.94, 270.00
LED4X31, SMD, , 0603-LED, -0603-led, 66.04, 27.94, 270.00
LED4X41, SMD, , 0603-LED, -0603-led, 86.36, 27.94, 270.00
Q1X11, SMD, , SOT23-3, -sot23-3, 14.61, 52.12, 0.00
Q1X21, SMD, , SOT23-3, -sot23-3, 34.93, 52.12, 0.00
Q1X31, SMD, , SOT23-3, -sot23-3, 55.25, 52.12, 0.00
Q1X41, SMD, , SOT23-3, -sot23-3, 75.56, 52.12, 0.00
Q2X11, SMD, , SOT23-3, -sot23-3, 19.05, 52.12, 0.00
Q2X21, SMD, , SOT23-3, -sot23-3, 39.37, 52.12, 0.00
Q2X31, SMD, , SOT23-3, -sot23-3, 59.69, 52.12, 0.00
Q2X41, SMD, , SOT23-3, -sot23-3, 80.01, 52.12, 0.00
