# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1X11, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
CON1X12, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
CON1X13, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
CON1X14, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
FID-LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 80.65, 6.99, 0.00, 0.00
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 23.50, 92.08, 0.00, 0.00
FID1X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 10.29, 0.00, 0.00
FID1X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 30.61, 0.00, 0.00
FID1X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 50.93, 0.00, 0.00
FID1X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 71.25, 0.00, 0.00
FID2X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 27.30, 0.00, 0.00
FID2X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 47.62, 0.00, 0.00
FID2X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 67.95, 0.00, 0.00
FID2X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 88.27, 0.00, 0.00
Q1X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 13.34, 0.00, 0.00
Q1X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 33.66, 0.00, 0.00
Q1X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 53.98, 0.00, 0.00
Q1X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 74.30, 0.00, 0.00
Q2X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 17.78, 0.00, 0.00
Q2X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 38.10, 0.00, 0.00
Q2X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 58.42, 0.00, 0.00
Q2X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 78.74, 0.00, 0.00
Q3X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 22.23, 0.00, 0.00
Q3X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 42.55, 0.00, 0.00
Q3X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 62.87, 0.00, 0.00
Q3X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 83.19, 0.00, 0.00
Q4X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 26.67, 0.00, 0.00
Q4X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 46.99, 0.00, 0.00
Q4X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 67.31, 0.00, 0.00
Q4X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 49.48, 87.63, 0.00, 0.00
Q5X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 12.65, 90.00, -90.00
Q5X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 32.97, 90.00, -90.00
Q5X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 53.29, 90.00, -90.00
Q5X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 73.61, 90.00, -90.00
Q6X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 21.54, 90.00, -90.00
Q6X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 41.86, 90.00, -90.00
Q6X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 62.18, 90.00, -90.00
Q6X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 82.50, 90.00, -90.00
Q7X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 17.10, 90.00, -90.00
Q7X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 37.41, 90.00, -90.00
Q7X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 57.73, 90.00, -90.00
Q7X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 78.06, 90.00, -90.00
Q8X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 25.99, 90.00, -90.00
Q8X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 46.30, 90.00, -90.00
Q8X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 66.62, 90.00, -90.00
Q8X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 60.96, 86.95, 90.00, -90.00
R1X11, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 11.43, 180.00, -180.00
R1X12, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 31.75, 180.00, -180.00
