# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 1.40, 0.00, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 18.41, 0.00, 0.00
Q1, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 4.45, 0.00, 0.00
Q2, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 8.89, 0.00, 0.00
Q3, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 13.34, 0.00, 0.00
Q4, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 17.78, 0.00, 0.00
Q5, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 3.76, 90.00, -90.00
Q6, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 12.65, 90.00, -90.00
Q7, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 8.21, 90.00, -90.00
Q8, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 17.10, 90.00, -90.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 2.54, 180.00, -180.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 6.99, 180.00, -180.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 11.43, 180.00, -180.00
R4, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 15.88, 180.00, -180.00
