# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID1X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 1.40, 0.00, 0.00
FID1X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 21.72, 0.00, 0.00
FID1X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 42.04, 0.00, 0.00
FID1X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 62.36, 0.00, 0.00
FID2X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 18.41, 0.00, 0.00
FID2X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 38.73, 0.00, 0.00
FID2X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 59.05, 0.00, 0.00
FID2X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 79.38, 0.00, 0.00
Q1X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 4.45, 0.00, 0.00
Q1X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 24.77, 0.00, 0.00
Q1X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 45.09, 0.00, 0.00
Q1X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 65.41, 0.00, 0.00
Q2X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 8.89, 0.00, 0.00
Q2X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 29.21, 0.00, 0.00
Q2X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 49.53, 0.00, 0.00
Q2X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 69.85, 0.00, 0.00
Q3X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 13.34, 0.00, 0.00
Q3X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 33.66, 0.00, 0.00
Q3X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 53.98, 0.00, 0.00
Q3X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 74.30, 0.00, 0.00
Q4X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 17.78, 0.00, 0.00
Q4X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 38.10, 0.00, 0.00
Q4X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 58.42, 0.00, 0.00
Q4X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 24.08, 78.74, 0.00, 0.00
Q5X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 3.76, 90.00, -90.00
Q5X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 24.08, 90.00, -90.00
Q5X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 44.40, 90.00, -90.00
Q5X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 64.72, 90.00, -90.00
Q6X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 12.65, 90.00, -90.00
Q6X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 32.97, 90.00, -90.00
Q6X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 53.29, 90.00, -90.00
Q6X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 73.61, 90.00, -90.00
Q7X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 8.21, 90.00, -90.00
Q7X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 28.53, 90.00, -90.00
Q7X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 48.84, 90.00, -90.00
Q7X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 69.17, 90.00, -90.00
Q8X11, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 17.10, 90.00, -90.00
Q8X12, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 37.41, 90.00, -90.00
Q8X13, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 57.73, 90.00, -90.00
Q8X14, SMD, MOSFET-N, SOT23-3, mosfet-n-sot23-3, 35.56, 78.06, 90.00, -90.00
R1X11, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 2.54, 180.00, -180.00
R1X12, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 22.86, 180.00, -180.00
R1X13, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 43.18, 180.00, -180.00
R1X14, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 63.50, 180.00, -180.00
R2X11, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 6.99, 180.00, -180.00
R2X12, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 27.30, 180.00, -180.00
R2X13, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 47.62, 180.00, -180.00
R2X14, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 67.95, 180.00, -180.00
R3X11, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 11.43, 180.00, -180.00
R3X12, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 31.75, 180.00, -180.00
R3X13, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 52.07, 180.00, -180.00
R3X14, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 72.39, 180.00, -180.00
R4X11, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 15.88, 180.00, -180.00
R4X12, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 36.20, 180.00, -180.00
R4X13, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 56.52, 180.00, -180.00
R4X14, SMD, 10k, 0805-RES, 10k-0805-res, 29.21, 76.84, 180.00, -180.00
