# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 23.50, 93.73, 0.00, 0.00
FID1X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 9.40, 0.00, 0.00
FID1X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 51.31, 0.00, 0.00
FID2X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 48.01, 0.00, 0.00
FID2X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 89.92, 0.00, 0.00
FID_LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 80.65, 6.10, 0.00, 0.00
JP1X11, PTH, CONNECTOR-M05X2PTH, AVR_ICSP, connector-m05x2pth-avr_icsp, 0.00, 0.00, 0.00, 0.00
JP1X12, PTH, CONNECTOR-M05X2PTH, AVR_ICSP, connector-m05x2pth-avr_icsp, 0.00, 0.00, 0.00, 0.00
R1X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R1X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R2X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R2X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R3X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R3X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R4X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R4X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R9X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R9X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R10X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R10X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R11X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R11X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R12X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
R12X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 180.00, -180.00
U$1X1, PTH, , BOARD-DINRAIL-3.17IN-H2X-IOB, -board-dinrail-3.17in-h2x-iob, 0.00, 0.00, 0.00, 0.00
U$1X11, PTH, IO4-IOB-DUALRR-CIRKITS, 10X-IOB, io4-iob-dualrr-cirkits-10x-iob, 0.00, 0.00, 0.00, 0.00
U$1X12, PTH, IO4-IOB-DUALRR-CIRKITS, 10X-IOB, io4-iob-dualrr-cirkits-10x-iob, 0.00, 0.00, 0.00, 0.00
