# name, smd?, value, package, component, x, y, angle
C1, SMD, 0.1UF, 0805-CAP, 0.1uf-0805-cap, 8.64, 25.40, 180.00
CON1, PTH, RJ45, RJ45-NO-SHIELD, rj45-rj45-no-shield, 0.00, 0.00, 180.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 8.89, 48.90, 270.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 1.91, 12.07, 270.00
FID3, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 18.41, 12.07, 270.00
IC1, SMD, 74HS139A, SO16, 74hs139a-so16, 8.51, 19.18, 270.00
IOB, PTH, IO4-IOBBARE, IO4-IOB, io4-iobbare-io4-iob, 0.00, 0.00, 270.00
LED0, SMD, Y, 0603-LED, y-0603-led, 15.11, 2.54, 270.00
LED1, SMD, Y, 0603-LED, y-0603-led, 11.30, 2.54, 270.00
LED2, SMD, Y, 0603-LED, y-0603-led, 7.49, 2.54, 270.00
LED3, SMD, Y, 0603-LED, y-0603-led, 3.68, 2.54, 270.00
Q0, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 14.99, 7.32, 180.00
Q1, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 11.18, 7.32, 180.00
Q2, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 7.37, 7.32, 180.00
Q3, SMD, MOSFET-P, SOT23-3, mosfet-p-sot23-3, 3.56, 7.32, 180.00
R0, SMD, 2K2, 0805-RES, 2k2-0805-res, 13.21, 4.83, 90.00
R1, SMD, 2K2, 0805-RES, 2k2-0805-res, 9.40, 4.83, 90.00
R2, SMD, 2K2, 0805-RES, 2k2-0805-res, 5.59, 4.83, 90.00
R3, SMD, 2K2, 0805-RES, 2k2-0805-res, 1.78, 4.83, 90.00
R4, SMD, 420R, 0805-RES, 420r-0805-res, 6.60, 29.21, 270.00
R6, SMD, 1K0, 0805-RES, 1k0-0805-res, 5.33, 33.02, 270.00
R7, SMD, 1K0, 0805-RES, 1k0-0805-res, 7.87, 33.02, 270.00
R8, SMD, 420R, 0805-RES, 420r-0805-res, 11.68, 29.21, 270.00
R9, SMD, 1K0, 0805-RES, 1k0-0805-res, 10.41, 33.02, 270.00
R10, SMD, 1K0, 0805-RES, 1k0-0805-res, 12.95, 33.02, 270.00
