# name, smd?, value, package, component, x, y, angle
C1X11, SMD, , 0805-CAP, -0805-cap, 18.80, 50.80, 180.00
C1X21, SMD, , 0805-CAP, -0805-cap, 39.12, 50.80, 180.00
C1X31, SMD, , 0805-CAP, -0805-cap, 59.44, 50.80, 180.00
C1X41, SMD, , 0805-CAP, -0805-cap, 79.76, 50.80, 180.00
CON1X11, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
CON1X21, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
CON1X31, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
CON1X41, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 19.05, 74.30, 270.00
FID1X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 39.37, 74.30, 270.00
FID1X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 59.69, 74.30, 270.00
FID1X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 80.01, 74.30, 270.00
FID2X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 12.07, 37.47, 270.00
FID2X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 32.38, 37.47, 270.00
FID2X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 52.71, 37.47, 270.00
FID2X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 73.03, 37.47, 270.00
FID3X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 28.58, 37.47, 270.00
FID3X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 48.90, 37.47, 270.00
FID3X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 69.22, 37.47, 270.00
FID3X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 89.54, 37.47, 270.00
IC1X11, SMD, , SO16, -so16, 18.67, 44.58, 270.00
IC1X21, SMD, , SO16, -so16, 38.99, 44.58, 270.00
IC1X31, SMD, , SO16, -so16, 59.31, 44.58, 270.00
IC1X41, SMD, , SO16, -so16, 79.63, 44.58, 270.00
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX21, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX31, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX41, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
LED0X11, SMD, , 0603-LED, -0603-led, 25.27, 27.94, 270.00
LED0X21, SMD, , 0603-LED, -0603-led, 45.59, 27.94, 270.00
LED0X31, SMD, , 0603-LED, -0603-led, 65.91, 27.94, 270.00
LED0X41, SMD, , 0603-LED, -0603-led, 86.23, 27.94, 270.00
LED1X11, SMD, , 0603-LED, -0603-led, 21.46, 27.94, 270.00
LED1X21, SMD, , 0603-LED, -0603-led, 41.78, 27.94, 270.00
LED1X31, SMD, , 0603-LED, -0603-led, 62.10, 27.94, 270.00
LED1X41, SMD, , 0603-LED, -0603-led, 82.42, 27.94, 270.00
LED2X11, SMD, , 0603-LED, -0603-led, 17.65, 27.94, 270.00
LED2X21, SMD, , 0603-LED, -0603-led, 37.97, 27.94, 270.00
LED2X31, SMD, , 0603-LED, -0603-led, 58.29, 27.94, 270.00
LED2X41, SMD, , 0603-LED, -0603-led, 78.61, 27.94, 270.00
LED3X11, SMD, , 0603-LED, -0603-led, 13.84, 27.94, 270.00
LED3X21, SMD, , 0603-LED, -0603-led, 34.16, 27.94, 270.00
LED3X31, SMD, , 0603-LED, -0603-led, 54.48, 27.94, 270.00
LED3X41, SMD, , 0603-LED, -0603-led, 74.80, 27.94, 270.00
Q0X11, SMD, , SOT23-3, -sot23-3, 25.15, 32.72, 180.00
Q0X21, SMD, , SOT23-3, -sot23-3, 45.47, 32.72, 180.00
Q0X31, SMD, , SOT23-3, -sot23-3, 65.79, 32.72, 180.00
Q0X41, SMD, , SOT23-3, -sot23-3, 86.11, 32.72, 180.00
Q1X11, SMD, , SOT23-3, -sot23-3, 21.34, 32.72, 180.00
Q1X21, SMD, , SOT23-3, -sot23-3, 41.66, 32.72, 180.00
Q1X31, SMD, , SOT23-3, -sot23-3, 61.98, 32.72, 180.00
Q1X41, SMD, , SOT23-3, -sot23-3, 82.30, 32.72, 180.00
Q2X11, SMD, , SOT23-3, -sot23-3, 17.53, 32.72, 180.00
Q2X21, SMD, , SOT23-3, -sot23-3, 37.85, 32.72, 180.00
Q2X31, SMD, , SOT23-3, -sot23-3, 58.17, 32.72, 180.00
Q2X41, SMD, , SOT23-3, -sot23-3, 78.49, 32.72, 180.00
Q3X11, SMD, , SOT23-3, -sot23-3, 13.72, 32.72, 180.00
Q3X21, SMD, , SOT23-3, -sot23-3, 34.04, 32.72, 180.00
Q3X31, SMD, , SOT23-3, -sot23-3, 54.36, 32.72, 180.00
Q3X41, SMD, , SOT23-3, -sot23-3, 74.68, 32.72, 180.00
R0X11, SMD, , 0805-RES, -0805-res, 23.37, 30.23, 90.00
R0X21, SMD, , 0805-RES, -0805-res, 43.69, 30.23, 90.00
R0X31, SMD, , 0805-RES, -0805-res, 64.01, 30.23, 90.00
R0X41, SMD, , 0805-RES, -0805-res, 84.33, 30.23, 90.00
R1X11, SMD, , 0805-RES, -0805-res, 19.56, 30.23, 90.00
R1X21, SMD, , 0805-RES, -0805-res, 39.88, 30.23, 90.00
R1X31, SMD, , 0805-RES, -0805-res, 60.20, 30.23, 90.00
R1X41, SMD, , 0805-RES, -0805-res, 80.52, 30.23, 90.00
