# name, smd?, value, package, component, x, y, angle, YXAngle
C1X11, SMD, , 0805-CAP, -0805-cap, 54.61, 17.53, 270.00, 180.00
C1X12, SMD, , 0805-CAP, -0805-cap, 54.61, 37.85, 270.00, 180.00
C1X13, SMD, , 0805-CAP, -0805-cap, 54.61, 58.17, 270.00, 180.00
C1X14, SMD, , 0805-CAP, -0805-cap, 54.61, 78.49, 270.00, 180.00
CON1X11, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 270.00, 180.00
CON1X12, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 270.00, 180.00
CON1X13, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 270.00, 180.00
CON1X14, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 270.00, 180.00
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 10.29, 0.00, 90.00
FID1X12, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 30.61, 0.00, 90.00
FID1X13, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 50.93, 0.00, 90.00
FID1X14, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 71.25, 0.00, 90.00
FID3X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 27.30, 0.00, 90.00
FID3X12, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 47.62, 0.00, 90.00
FID3X13, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 67.95, 0.00, 90.00
FID3X14, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 88.27, 0.00, 90.00
IC1X11, SMD, , SO16, -so16, 60.83, 17.40, 0.00, 90.00
IC1X12, SMD, , SO16, -so16, 60.83, 37.72, 0.00, 90.00
IC1X13, SMD, , SO16, -so16, 60.83, 58.04, 0.00, 90.00
IC1X14, SMD, , SO16, -so16, 60.83, 78.36, 0.00, 90.00
R4X11, SMD, , 0805-RES, -0805-res, 50.80, 15.49, 0.00, 90.00
R4X12, SMD, , 0805-RES, -0805-res, 50.80, 35.81, 0.00, 90.00
R4X13, SMD, , 0805-RES, -0805-res, 50.80, 56.13, 0.00, 90.00
R4X14, SMD, , 0805-RES, -0805-res, 50.80, 76.45, 0.00, 90.00
R6X11, SMD, , 0805-RES, -0805-res, 46.99, 14.22, 0.00, 90.00
R6X12, SMD, , 0805-RES, -0805-res, 46.99, 34.54, 0.00, 90.00
R6X13, SMD, , 0805-RES, -0805-res, 46.99, 54.86, 0.00, 90.00
R6X14, SMD, , 0805-RES, -0805-res, 46.99, 75.18, 0.00, 90.00
R7X11, SMD, , 0805-RES, -0805-res, 46.99, 16.76, 0.00, 90.00
R7X12, SMD, , 0805-RES, -0805-res, 46.99, 37.08, 0.00, 90.00
R7X13, SMD, , 0805-RES, -0805-res, 46.99, 57.40, 0.00, 90.00
R7X14, SMD, , 0805-RES, -0805-res, 46.99, 77.72, 0.00, 90.00
R8X11, SMD, , 0805-RES, -0805-res, 50.80, 20.57, 0.00, 90.00
R8X12, SMD, , 0805-RES, -0805-res, 50.80, 40.89, 0.00, 90.00
R8X13, SMD, , 0805-RES, -0805-res, 50.80, 61.21, 0.00, 90.00
R8X14, SMD, , 0805-RES, -0805-res, 50.80, 81.53, 0.00, 90.00
R9X11, SMD, , 0805-RES, -0805-res, 46.99, 19.30, 0.00, 90.00
R9X12, SMD, , 0805-RES, -0805-res, 46.99, 39.62, 0.00, 90.00
R9X13, SMD, , 0805-RES, -0805-res, 46.99, 59.94, 0.00, 90.00
R9X14, SMD, , 0805-RES, -0805-res, 46.99, 80.26, 0.00, 90.00
R10X11, SMD, , 0805-RES, -0805-res, 46.99, 21.84, 0.00, 90.00
R10X12, SMD, , 0805-RES, -0805-res, 46.99, 42.16, 0.00, 90.00
R10X13, SMD, , 0805-RES, -0805-res, 46.99, 62.48, 0.00, 90.00
R10X14, SMD, , 0805-RES, -0805-res, 46.99, 82.80, 0.00, 90.00
U$1X1, PTH, , BOARD-DINRAIL-3.17IN-H4X-IOB, -board-dinrail-3.17in-h4x-iob, 0.00, 0.00, 0.00, 90.00
U$1X11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
U$1X12, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
U$1X13, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
U$1X14, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
