# name, smd?, value, package, component, x, y, angle
D1X11, SMD, , SOT23-3, -sot23-3, 14.99, 41.99, 180.00
D1X21, SMD, , SOT23-3, -sot23-3, 35.31, 41.99, 180.00
D1X31, SMD, , SOT23-3, -sot23-3, 55.63, 41.99, 180.00
D1X41, SMD, , SOT23-3, -sot23-3, 75.95, 41.99, 180.00
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 19.05, 74.30, 270.00
FID1X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 39.37, 74.30, 270.00
FID1X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 59.69, 74.30, 270.00
FID1X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 80.01, 74.30, 270.00
FID2X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 12.07, 37.47, 270.00
FID2X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 32.38, 37.47, 270.00
FID2X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 52.71, 37.47, 270.00
FID2X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 73.03, 37.47, 270.00
FID3X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 28.58, 37.47, 270.00
FID3X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 48.90, 37.47, 270.00
FID3X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 69.22, 37.47, 270.00
FID3X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 89.54, 37.47, 270.00
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX21, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX31, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX41, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
J1X11, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J1X21, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J1X31, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J1X41, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
LED1X11, SMD, , 0603-LED, -0603-led, 13.97, 27.94, 270.00
LED1X21, SMD, , 0603-LED, -0603-led, 34.29, 27.94, 270.00
LED1X31, SMD, , 0603-LED, -0603-led, 54.61, 27.94, 270.00
LED1X41, SMD, , 0603-LED, -0603-led, 74.93, 27.94, 270.00
LED2X11, SMD, , 0603-LED, -0603-led, 17.78, 27.94, 270.00
LED2X21, SMD, , 0603-LED, -0603-led, 38.10, 27.94, 270.00
LED2X31, SMD, , 0603-LED, -0603-led, 58.42, 27.94, 270.00
LED2X41, SMD, , 0603-LED, -0603-led, 78.74, 27.94, 270.00
LED3X11, SMD, , 0603-LED, -0603-led, 21.59, 27.94, 270.00
LED3X21, SMD, , 0603-LED, -0603-led, 41.91, 27.94, 270.00
LED3X31, SMD, , 0603-LED, -0603-led, 62.23, 27.94, 270.00
LED3X41, SMD, , 0603-LED, -0603-led, 82.55, 27.94, 270.00
LED4X11, SMD, , 0603-LED, -0603-led, 25.40, 27.94, 270.00
LED4X21, SMD, , 0603-LED, -0603-led, 45.72, 27.94, 270.00
LED4X31, SMD, , 0603-LED, -0603-led, 66.04, 27.94, 270.00
LED4X41, SMD, , 0603-LED, -0603-led, 86.36, 27.94, 270.00
Q1X11, SMD, , SOT23-3, -sot23-3, 13.97, 32.97, 180.00
Q1X21, SMD, , SOT23-3, -sot23-3, 34.29, 32.97, 180.00
Q1X31, SMD, , SOT23-3, -sot23-3, 54.61, 32.97, 180.00
Q1X41, SMD, , SOT23-3, -sot23-3, 74.93, 32.97, 180.00
Q2X11, SMD, , SOT23-3, -sot23-3, 17.78, 32.97, 180.00
Q2X21, SMD, , SOT23-3, -sot23-3, 38.10, 32.97, 180.00
Q2X31, SMD, , SOT23-3, -sot23-3, 58.42, 32.97, 180.00
Q2X41, SMD, , SOT23-3, -sot23-3, 78.74, 32.97, 180.00
Q3X11, SMD, , SOT23-3, -sot23-3, 21.59, 32.97, 180.00
Q3X21, SMD, , SOT23-3, -sot23-3, 41.91, 32.97, 180.00
Q3X31, SMD, , SOT23-3, -sot23-3, 62.23, 32.97, 180.00
Q3X41, SMD, , SOT23-3, -sot23-3, 82.55, 32.97, 180.00
Q4X11, SMD, , SOT23-3, -sot23-3, 25.40, 32.97, 180.00
Q4X21, SMD, , SOT23-3, -sot23-3, 45.72, 32.97, 180.00
Q4X31, SMD, , SOT23-3, -sot23-3, 66.04, 32.97, 180.00
Q4X41, SMD, , SOT23-3, -sot23-3, 86.36, 32.97, 180.00
R4X11, SMD, , 0805-RES, -0805-res, 14.99, 55.88, 270.00
R4X21, SMD, , 0805-RES, -0805-res, 35.31, 55.88, 270.00
R4X31, SMD, , 0805-RES, -0805-res, 55.63, 55.88, 270.00
R4X41, SMD, , 0805-RES, -0805-res, 75.95, 55.88, 270.00
R5X11, SMD, , 0805-RES, -0805-res, 17.53, 55.88, 270.00
R5X21, SMD, , 0805-RES, -0805-res, 37.85, 55.88, 270.00
R5X31, SMD, , 0805-RES, -0805-res, 58.17, 55.88, 270.00
R5X41, SMD, , 0805-RES, -0805-res, 78.49, 55.88, 270.00
R6X11, SMD, , 0805-RES, -0805-res, 20.07, 55.88, 270.00
R6X21, SMD, , 0805-RES, -0805-res, 40.39, 55.88, 270.00
R6X31, SMD, , 0805-RES, -0805-res, 60.71, 55.88, 270.00
R6X41, SMD, , 0805-RES, -0805-res, 81.03, 55.88, 270.00
R7X11, SMD, , 0805-RES, -0805-res, 22.61, 55.88, 270.00
R7X21, SMD, , 0805-RES, -0805-res, 42.93, 55.88, 270.00
R7X31, SMD, , 0805-RES, -0805-res, 63.25, 55.88, 270.00
R7X41, SMD, , 0805-RES, -0805-res, 83.57, 55.88, 270.00
R8X1, PTH, , BOARD-DINRAIL-3.17IN-4X-IOB, -board-dinrail-3.17in-4x-iob, 0.00, 0.00, 0.00
R8X2, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 15.00, 15.00, 0.00
R8X3, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 85.00, 15.00, 0.00
R8X4, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 85.00, 85.00, 0.00
R11X11, SMD, , 0805-RES, -0805-res, 12.07, 30.48, 90.00
R11X21, SMD, , 0805-RES, -0805-res, 32.38, 30.48, 90.00
R11X31, SMD, , 0805-RES, -0805-res, 52.71, 30.48, 90.00
R11X41, SMD, , 0805-RES, -0805-res, 73.03, 30.48, 90.00
R12X11, SMD, , 0805-RES, -0805-res, 15.88, 30.48, 90.00
R12X21, SMD, , 0805-RES, -0805-res, 36.20, 30.48, 90.00
R12X31, SMD, , 0805-RES, -0805-res, 56.52, 30.48, 90.00
R12X41, SMD, , 0805-RES, -0805-res, 76.84, 30.48, 90.00
R13X11, SMD, , 0805-RES, -0805-res, 19.69, 30.48, 90.00
R13X21, SMD, , 0805-RES, -0805-res, 40.01, 30.48, 90.00
R13X31, SMD, , 0805-RES, -0805-res, 60.33, 30.48, 90.00
R13X41, SMD, , 0805-RES, -0805-res, 80.65, 30.48, 90.00
R14X11, SMD, , 0805-RES, -0805-res, 23.50, 30.48, 90.00
R14X21, SMD, , 0805-RES, -0805-res, 43.82, 30.48, 90.00
R14X31, SMD, , 0805-RES, -0805-res, 64.14, 30.48, 90.00
R14X41, SMD, , 0805-RES, -0805-res, 84.45, 30.48, 90.00
