# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 30.48, 11.43, 0.00, 0.00
C2, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 30.48, 16.51, 0.00, 0.00
C4, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 30.48, 6.35, 0.00, 0.00
D1, SMD, 4.7v, SOT23-3, 4.7v-sot23-3, 39.42, 3.81, 180.00, -180.00
D2, SMD, BAT54S, SOT23, bat54s-sot23, 26.67, 11.43, 0.00, 0.00
D3, SMD, BAT54S, SOT23, bat54s-sot23, 26.67, 16.51, 0.00, 0.00
D4, SMD, BAT54S, SOT23, bat54s-sot23, 26.67, 6.35, 0.00, 0.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 15.88, 1.27, 0.00, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 51.44, 18.41, 0.00, 0.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 17.78, 270.00, 90.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 43.18, 17.78, 270.00, 90.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 48.26, 17.78, 270.00, 90.00
R4, SMD, 1K0, 0603-RES, 1k0-0603-res, 35.56, 3.81, 0.00, 0.00
R5, SMD, 1K0, 0603-RES, 1k0-0603-res, 35.56, 11.43, 180.00, -180.00
R6, SMD, 82R, 0805-RES, 82r-0805-res, 21.59, 11.43, 180.00, -180.00
R7, SMD, 1K0, 0603-RES, 1k0-0603-res, 35.56, 16.51, 180.00, -180.00
R8, SMD, 1K0, 0603-RES, 1k0-0603-res, 35.56, 6.35, 180.00, -180.00
R9, SMD, 82R, 0805-RES, 82r-0805-res, 21.59, 6.35, 180.00, -180.00
R10, SMD, 82R, 0805-RES, 82r-0805-res, 21.59, 16.51, 180.00, -180.00
