# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 20.32, 0.00, 0.00
C1X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 40.64, 0.00, 0.00
C1X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 60.96, 0.00, 0.00
C1X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 81.28, 0.00, 0.00
C2X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 25.40, 0.00, 0.00
C2X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 45.72, 0.00, 0.00
C2X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 66.04, 0.00, 0.00
C2X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 86.36, 0.00, 0.00
C4X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 15.24, 0.00, 0.00
C4X12, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 35.56, 0.00, 0.00
C4X13, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 55.88, 0.00, 0.00
C4X14, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 76.20, 0.00, 0.00
D1X11, SMD, 4.7v, SOT23-3, 4.7v-sot23-3, 64.82, 12.70, 180.00, -180.00
D1X12, SMD, 4.7v, SOT23-3, 4.7v-sot23-3, 64.82, 33.02, 180.00, -180.00
D1X13, SMD, 4.7v, SOT23-3, 4.7v-sot23-3, 64.82, 53.34, 180.00, -180.00
D1X14, SMD, 4.7v, SOT23-3, 4.7v-sot23-3, 64.82, 73.66, 180.00, -180.00
D2X11, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 20.32, 0.00, 0.00
D2X12, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 40.64, 0.00, 0.00
D2X13, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 60.96, 0.00, 0.00
D2X14, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 81.28, 0.00, 0.00
D3X11, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 25.40, 0.00, 0.00
D3X12, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 45.72, 0.00, 0.00
D3X13, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 66.04, 0.00, 0.00
D3X14, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 86.36, 0.00, 0.00
D4X11, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 15.24, 0.00, 0.00
D4X12, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 35.56, 0.00, 0.00
D4X13, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 55.88, 0.00, 0.00
D4X14, SMD, BAT54S, SOT23, bat54s-sot23, 52.07, 76.20, 0.00, 0.00
FID-LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 80.65, 6.99, 0.00, 0.00
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 23.50, 92.08, 0.00, 0.00
FID1X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 10.16, 0.00, 0.00
FID1X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 30.48, 0.00, 0.00
FID1X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 50.80, 0.00, 0.00
FID1X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 71.12, 0.00, 0.00
FID2X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 27.30, 0.00, 0.00
FID2X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 47.62, 0.00, 0.00
FID2X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 67.95, 0.00, 0.00
FID2X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 88.27, 0.00, 0.00
