# name, smd?, value, package, component, x, y, angle
CON1X11, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
CON1X21, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
CON1X31, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
CON1X41, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
FID1, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 95.00, 10.00, 0.00
FID3, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 15.00, 95.00, 0.00
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX21, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX31, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX41, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
J1X11, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X21, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X31, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X41, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
LED1X11, SMD, , 0603-LED, -0603-led, 25.40, 27.94, 270.00
LED1X21, SMD, , 0603-LED, -0603-led, 45.72, 27.94, 270.00
LED1X31, SMD, , 0603-LED, -0603-led, 66.04, 27.94, 270.00
LED1X41, SMD, , 0603-LED, -0603-led, 86.36, 27.94, 270.00
LED2X11, SMD, , 0603-LED, -0603-led, 21.59, 27.94, 270.00
LED2X21, SMD, , 0603-LED, -0603-led, 41.91, 27.94, 270.00
LED2X31, SMD, , 0603-LED, -0603-led, 62.23, 27.94, 270.00
LED2X41, SMD, , 0603-LED, -0603-led, 82.55, 27.94, 270.00
LED3X11, SMD, , 0603-LED, -0603-led, 17.78, 27.94, 270.00
LED3X21, SMD, , 0603-LED, -0603-led, 38.10, 27.94, 270.00
LED3X31, SMD, , 0603-LED, -0603-led, 58.42, 27.94, 270.00
LED3X41, SMD, , 0603-LED, -0603-led, 78.74, 27.94, 270.00
LED4X11, SMD, , 0603-LED, -0603-led, 13.97, 27.94, 270.00
LED4X21, SMD, , 0603-LED, -0603-led, 34.29, 27.94, 270.00
LED4X31, SMD, , 0603-LED, -0603-led, 54.61, 27.94, 270.00
LED4X41, SMD, , 0603-LED, -0603-led, 74.93, 27.94, 270.00
Q0X11, SMD, , SOT23, -sot23, 25.40, 32.38, 180.00
Q0X21, SMD, , SOT23, -sot23, 45.72, 32.38, 180.00
Q0X31, SMD, , SOT23, -sot23, 66.04, 32.38, 180.00
