# name, smd?, value, package, component, x, y, angle
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 9.96, 0.00
FID1X12, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 30.28, 0.00
FID1X13, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 50.60, 0.00
FID1X14, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 70.92, 0.00
FID2X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 26.85, 0.00
FID2X12, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 47.17, 0.00
FID2X13, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 67.49, 0.00
FID2X14, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 87.81, 0.00
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00
IOBX12, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00
IOBX13, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00
IOBX14, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00
J1X11, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00
J1X12, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00
J1X13, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00
J1X14, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00
R9X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R9X12, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R9X13, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R9X14, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R10X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R10X12, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R10X13, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R10X14, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R11X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R11X12, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R11X13, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R11X14, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R12X1, PTH, , BOARD-DINRAIL-3.17IN-H4X-IOB, -board-dinrail-3.17in-h4x-iob, 0.00, 0.00, 0.00
R12X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R12X12, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R12X13, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
R12X14, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 180.00
