# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID-LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 80.65, 6.86, 0.00, 0.00
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 23.50, 93.22, 0.00, 0.00
FID1X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 10.29, 0.00, 0.00
FID1X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 30.61, 0.00, 0.00
FID1X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 50.93, 0.00, 0.00
FID1X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 41.27, 71.25, 0.00, 0.00
FID2X11, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 27.18, 0.00, 0.00
FID2X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 47.50, 0.00, 0.00
FID2X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 67.82, 0.00, 0.00
FID2X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 88.14, 0.00, 0.00
IOBX11, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
IOBX12, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
IOBX13, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
IOBX14, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
J1X11, PTH, RJ12/6, RJ24-INVERTED-PINS, rj12/6-rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
J1X12, PTH, RJ12/6, RJ24-INVERTED-PINS, rj12/6-rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
J1X13, PTH, RJ12/6, RJ24-INVERTED-PINS, rj12/6-rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
J1X14, PTH, RJ12/6, RJ24-INVERTED-PINS, rj12/6-rj24-inverted-pins, 0.00, 0.00, 90.00, -90.00
R9X11, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R9X12, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R9X13, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R9X14, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R10X11, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R10X12, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R10X13, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R10X14, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R11X11, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R11X12, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R11X13, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R11X14, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R12X1, PTH, , BOARD-DINRAIL-3.17IN-H4X-IOB, -board-dinrail-3.17in-h4x-iob, 0.00, 0.00, 0.00, 0.00
R12X11, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R12X12, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R12X13, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
R12X14, PTH, NOSTUFF, AXIAL-0.4-RES, nostuff-axial-0.4-res, 0.00, 0.00, 180.00, -180.00
