# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
D1,PTH,,DIODE-1N4001,-diode-1n4001,0.00,0.00,180.00,-180.00
D2,PTH,,DIODE-1N4001,-diode-1n4001,0.00,0.00,0.00,0.00
D3,PTH,,DIODE-1N4001,-diode-1n4001,0.00,0.00,180.00,-180.00
D4,PTH,,DIODE-1N4001,-diode-1n4001,0.00,0.00,0.00,0.00
J1,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,0.00,0.00
J2,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,180.00,-180.00
J3,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,180.00,-180.00
J4,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,270.00,90.00
J5,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,0.00,0.00
J6,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,180.00,-180.00
J7,PTH,,RJ25-INVERTED,-rj25-inverted,0.00,0.00,0.00,0.00
J8,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
J9,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
J10,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
J11,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,180.00,-180.00
J12,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,180.00,-180.00
J13,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,180.00,-180.00
J14,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,270.00,90.00
JP1,PTH,,1X02_LOCK,-1x02_lock,0.00,0.00,0.00,0.00
JP2,PTH,,1X02_LOCK,-1x02_lock,0.00,0.00,0.00,0.00
PWR,PTH,,DCJ0202,-dcj0202,0.00,0.00,90.00,-90.00
U$1,PTH,BOARD50X50-HOHOLES,BOARD-SEEED7X7,board50x50-hoholes-board-seeed7x7,0.00,0.00,0.00,0.00
U$2,PTH,12v 1A,POWER_USAGE,12v 1a-power_usage,0.00,0.00,270.00,90.00
