# name, smd?, value, package, component, x, y, angle
J2, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
J3, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
JP1, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 0.00
JP2, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 0.00
JP3, PTH, LN-TERM, 1X02_LOCK, ln-term-1x02_lock, 0.00, 0.00, 0.00
JP4, PTH, , 1X05_LOCK, -1x05_lock, 0.00, 0.00, 180.00
JP5, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 0.00
JP6, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 0.00
LED1, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 270.00
Q1, PTH, 2N3904, TO92, 2n3904-to92, 0.00, 0.00, 270.00
R1, PTH, 4k7, 0204/5, 4k7-0204/5, 0.00, 0.00, 90.00
R2, PTH, 27k, 0204/5, 27k-0204/5, 0.00, 0.00, 90.00
R3, PTH, 39k, 0204/5, 39k-0204/5, 0.00, 0.00, 270.00
R4, PTH, 47k, 0204/5, 47k-0204/5, 0.00, 0.00, 270.00
R5, PTH, 150k, 0204/5, 150k-0204/5, 0.00, 0.00, 270.00
R6, PTH, 240k, 0204/5, 240k-0204/5, 0.00, 0.00, 270.00
R7, PTH, 1k, 0204/5, 1k-0204/5, 0.00, 0.00, 90.00
R8, PTH, 470R, 0204/5, 470r-0204/5, 0.00, 0.00, 90.00
R9, PTH, 47R, 0204/5, 47r-0204/5, 0.00, 0.00, 270.00
R10, PTH, 82R, 0204/5, 82r-0204/5, 0.00, 0.00, 90.00
SHIELD, PTH, ARDUINO_SHIELDNOHOLES, DUEMILANOVE_SHIELD_NOHOLES, arduino_shieldnoholes-duemilanove_shield_noholes, 0.00, 0.00, 0.00
U$1, PTH, OSHW-LOGOM, OSHW-LOGO-M, oshw-logom-oshw-logo-m, 0.00, 0.00, 0.00
U1, PTH, LM393, DIL8, lm393-dil8, 0.00, 0.00, 0.00
U2, PTH, LM317LZ, TO92, lm317lz-to92, 0.00, 0.00, 270.00
