# name, smd?, value, package, component, x, y, angle
J1, PTH, , MA04-1, -ma04-1, 0.00, 0.00, 270.00
J2, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 270.00
J3, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 270.00
JP1, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 270.00
JP2, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 270.00
LED1, SMD, , CHIPLED_0805, -chipled_0805, 43.18, 11.18, 0.00
Q1, SMD, 2N3904, SOT23-3, 2n3904-sot23-3, 39.32, 19.05, 90.00
R1, SMD, 470R, R0805W, 470r-r0805w, 22.86, 10.16, 0.00
R2, SMD, 1k, R0805W, 1k-r0805w, 22.86, 15.24, 0.00
R3, SMD, 27k, R0805W, 27k-r0805w, 22.86, 19.05, 0.00
R4, SMD, 39k, R0805W, 39k-r0805w, 22.86, 22.86, 180.00
R5, SMD, 240k, R0805W, 240k-r0805w, 30.48, 15.24, 180.00
R6, SMD, 150k, R0805W, 150k-r0805w, 30.48, 19.05, 0.00
R7, SMD, 47k, R0805W, 47k-r0805w, 30.48, 22.86, 0.00
R8, SMD, 47R, R0805W, 47r-r0805w, 39.37, 22.86, 0.00
R9, SMD, 4k7, R0805W, 4k7-r0805w, 39.37, 15.24, 0.00
U$1, PTH, OSHW-LOGOM, OSHW-LOGO-M, oshw-logom-oshw-logo-m, 0.00, 0.00, 0.00
U1, SMD, LM393M, SO08, lm393m-so08, 27.94, 31.75, 270.00
U2, PTH, ARDUINO_SHIELDNOHOLES, DUEMILANOVE_SHIELD_NOHOLES, arduino_shieldnoholes-duemilanove_shield_noholes, 0.00, 0.00, 270.00
