# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
J2,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,0.00,0.00
J3,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,0.00,0.00
JP3,PTH,0.100,1X02_LOCK,0.100-1x02_lock,0.00,0.00,0.00,0.00
JPD4,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD5,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD6,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD7,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD8,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD9,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD10,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
JPD11,PTH,0.100,JP2,0.100-jp2,0.00,0.00,180.00,-180.00
LED1,SMD,B,0603-LED,b-0603-led,30.65,39.39,180.00,-180.00
Q1,SMD,2N3904,SOT23-3,2n3904-sot23-3,42.33,29.20,90.00,-90.00
R1,SMD,470R,0603-RES,470r-0603-res,29.43,34.91,90.00,-90.00
R2,SMD,1k,0603-RES,1k-0603-res,37.93,22.21,90.00,-90.00
R3,SMD,27k,0603-RES,27k-0603-res,34.12,22.21,90.00,-90.00
R4,SMD,39k,0603-RES,39k-0603-res,34.12,28.56,270.00,90.00
R5,SMD,240k,0603-RES,240k-0603-res,37.93,28.56,270.00,90.00
R6,SMD,150k,0603-RES,150k-0603-res,34.12,34.91,90.00,-90.00
R7,SMD,47k,0603-RES,47k-0603-res,37.93,34.91,90.00,-90.00
R8,SMD,47R,0603-RES,47r-0603-res,41.74,34.91,90.00,-90.00
R9,SMD,4k7,0603-RES,4k7-0603-res,37.93,41.26,270.00,90.00
R10,SMD,82R,0603-RES,82r-0603-res,23.71,24.75,270.00,90.00
SHIELD,PTH,ARDUINO_SHIELD,DUEMILANOVE_VIAS,arduino_shield-duemilanove_vias,0.00,0.00,0.00,0.00
SV1,PTH,0.100,MA05-1,0.100-ma05-1,0.00,0.00,0.00,0.00
U$1,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
U1,SMD,LM393M,SO08,lm393m-so08,27.77,24.75,0.00,0.00
U2,SMD,LM317LCDR,SO08,lm317lcdr-so08,19.52,24.75,0.00,0.00
