# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID-LR,SMD,,FIDUCIAL_1MM,-fiducial_1mm,98.43,5.08,0.00,0.00
FID-UL,SMD,,FIDUCIAL_1MM,-fiducial_1mm,1.91,95.25,0.00,0.00
FID1X11,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,1.91,48.26,0.00,0.00
FID1X12,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,97.79,51.60,180.00,-180.00
FID1X21,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,51.91,48.26,0.00,0.00
FID1X22,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,47.79,51.60,180.00,-180.00
FID2X11,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,47.62,8.26,180.00,-180.00
FID2X12,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,52.07,91.61,0.00,0.00
FID2X21,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,97.62,8.26,180.00,-180.00
FID2X22,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,2.07,91.61,0.00,0.00
H1X11,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
H1X12,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,180.00,-180.00
H1X21,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
H1X22,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,180.00,-180.00
H2X11,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
H2X12,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,180.00,-180.00
H2X21,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
H2X22,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,180.00,-180.00
H3X11,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
H3X12,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,180.00,-180.00
H3X21,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
H3X22,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,180.00,-180.00
