# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FIDLR,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,47.62,1.91,180.00,-180.00
FIDUL,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,1.91,41.91,0.00,0.00
LED1,SMD,B,0603-LED,b-0603-led,8.26,20.96,90.00,-90.00
Q1,SMD,2N3904,SOT23,2n3904-sot23,34.29,20.96,0.00,0.00
R1,SMD,82R,0603-RES,82r-0603-res,14.61,30.48,180.00,-180.00
R2,SMD,470R,0603-RES,470r-0603-res,8.26,26.04,270.00,90.00
R3,SMD,150k,0603-RES,150k-0603-res,20.96,26.04,270.00,90.00
R4,SMD,1k,0603-RES,1k-0603-res,25.40,26.04,270.00,90.00
R5,SMD,27k,0603-RES,27k-0603-res,29.85,26.04,270.00,90.00
R6,SMD,47R,0603-RES,47r-0603-res,34.29,26.04,90.00,-90.00
R7,SMD,4k7,0603-RES,4k7-0603-res,38.73,26.04,270.00,90.00
R8,SMD,47k,0603-RES,47k-0603-res,20.96,20.96,90.00,-90.00
R9,SMD,240k,0603-RES,240k-0603-res,25.40,20.96,90.00,-90.00
R10,SMD,39k,0603-RES,39k-0603-res,29.85,20.96,90.00,-90.00
U1,SMD,LM317LCDR,SO08,lm317lcdr-so08,14.61,34.29,270.00,90.00
U2,SMD,LM393M,SO08,lm393m-so08,14.61,25.40,270.00,90.00
