# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, BOARD69X100, BOARD-DINRAIL-2.7IN-16CM, board69x100-board-dinrail-2.7in-16cm, 0.00, 0.00, 0.00
C1, PTH, 10 uf @ 50, E2-5, 10 uf @ 50-e2-5, 0.00, 0.00, 0.00
C2, PTH, 0.1uF, C025-030X050, 0.1uf-c025-030x050, 0.00, 0.00, 0.00
C3, PTH, 1uF@50V, E2-5, 1uf@50v-e2-5, 0.00, 0.00, 0.00
C4, PTH, .33uF, C050-050X075, .33uf-c050-050x075, 0.00, 0.00, 270.00
C5, PTH, 100 pF, C050-025X075, 100 pf-c050-025x075, 0.00, 0.00, 270.00
C6, PTH, 0.1uF, C025-030X050, 0.1uf-c025-030x050, 0.00, 0.00, 180.00
C7, PTH, 10 uF @ 50V, E2-5, 10 uf @ 50v-e2-5, 0.00, 0.00, 0.00
C8, PTH, 10uF @ 50V, E2-5, 10uf @ 50v-e2-5, 0.00, 0.00, 0.00
C9, PTH, 10uF @ 50V, E2-5, 10uf @ 50v-e2-5, 0.00, 0.00, 0.00
C10, PTH, 100 uF @ 50V, E3.5-10, 100 uf @ 50v-e3.5-10, 0.00, 0.00, 0.00
C11, PTH, 100uF @ 50V, E3.5-10, 100uf @ 50v-e3.5-10, 0.00, 0.00, 0.00
C12, PTH, 2.2uF MYLAR_CAP, C15B9, 2.2uf mylar_cap-c15b9, 0.00, 0.00, 270.00
C13, PTH, 100 pF, C050-025X075, 100 pf-c050-025x075, 0.00, 0.00, 270.00
C14, PTH, 100 pF, C025-030X050, 100 pf-c025-030x050, 0.00, 0.00, 0.00
C15, PTH, 100 pF, C025-030X050, 100 pf-c025-030x050, 0.00, 0.00, 90.00
CON1, PTH, Audio, 1X04_LOCK, audio-1x04_lock, 0.00, 0.00, 0.00
CON2, PTH, Break-In, 1X04_LOCK, break-in-1x04_lock, 0.00, 0.00, 0.00
D1, PTH, 1N4734A 5.6 V, DIODE-ZENER, 1n4734a 5.6 v-diode-zener, 0.00, 0.00, 270.00
D2, PTH, 1N5819-B, DO41-7.6, 1n5819-b-do41-7.6, 0.00, 0.00, 0.00
