# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
E$1,PTH,10x10,BOARD-10X10-3X2-PANEL,10x10-board-10x10-3x2-panel,0.00,0.00,0.00,0.00
J1,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
J2,PTH,4P4C,RJ11,4p4c-rj11,0.00,0.00,0.00,0.00
J3,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
J4,PTH,4P4C,RJ11,4p4c-rj11,0.00,0.00,0.00,0.00
J5,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
J6,PTH,4P4C,RJ11,4p4c-rj11,0.00,0.00,0.00,0.00
J7,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
J8,PTH,4P4C,RJ11,4p4c-rj11,0.00,0.00,0.00,0.00
J9,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
J10,PTH,4P4C,RJ11,4p4c-rj11,0.00,0.00,0.00,0.00
J11,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
J12,PTH,4P4C,RJ11,4p4c-rj11,0.00,0.00,0.00,0.00
M1,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M3,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M4,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M5,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M6,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M7,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M8,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M9,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M10,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M12,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$1,PTH,MRCS,MRCSLOGOTOP,mrcs-mrcslogotop,0.00,0.00,0.00,0.00
U$2,PTH,MRCS,MRCSLOGOTOP,mrcs-mrcslogotop,0.00,0.00,0.00,0.00
U$3,PTH,MRCS,MRCSLOGOTOP,mrcs-mrcslogotop,0.00,0.00,0.00,0.00
U$4,PTH,MRCS,MRCSLOGOTOP,mrcs-mrcslogotop,0.00,0.00,0.00,0.00
U$5,PTH,MRCS,MRCSLOGOTOP,mrcs-mrcslogotop,0.00,0.00,0.00,0.00
U$6,PTH,MRCS,MRCSLOGOTOP,mrcs-mrcslogotop,0.00,0.00,0.00,0.00
