# name, smd?, value, package, component, x, y, angle
E$1, PTH, , BOARD-10X10-3X2-PANEL, -board-10x10-3x2-panel, 0.00, 0.00, 0.00
J1, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00
J2, PTH, RJ11, RJ11, rj11-rj11, 0.00, 0.00, 0.00
J3, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00
J4, PTH, RJ11, RJ11, rj11-rj11, 0.00, 0.00, 0.00
J5, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00
J6, PTH, RJ11, RJ11, rj11-rj11, 0.00, 0.00, 0.00
J7, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00
J8, PTH, RJ11, RJ11, rj11-rj11, 0.00, 0.00, 0.00
J9, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00
J10, PTH, RJ11, RJ11, rj11-rj11, 0.00, 0.00, 0.00
J11, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00
J12, PTH, RJ11, RJ11, rj11-rj11, 0.00, 0.00, 0.00
M1, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M2, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M3, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M4, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M5, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M6, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M7, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M8, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M9, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M10, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M11, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
M12, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$1, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
U$2, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
U$3, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
U$4, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
U$5, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
U$6, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
