# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BBLEOX11,PTH,,ARDUINO-BBLEO,-arduino-bbleo,0.00,0.00,0.00,0.00
BBLEOX12,PTH,,ARDUINO-BBLEO,-arduino-bbleo,0.00,0.00,0.00,0.00
C1X11,PTH,150uF,E5-10.5,150uf-e5-10.5,0.00,0.00,270.00,90.00
C1X12,PTH,150uF,E5-10.5,150uf-e5-10.5,0.00,0.00,270.00,90.00
C2X11,PTH,1.0uF,C050-024X044,1.0uf-c050-024x044,0.00,0.00,135.00,-135.00
C2X12,PTH,1.0uF,C050-024X044,1.0uf-c050-024x044,0.00,0.00,135.00,-135.00
C3X11,PTH,10uF,C050-024X044,10uf-c050-024x044,0.00,0.00,45.00,-45.00
C3X12,PTH,10uF,C050-024X044,10uf-c050-024x044,0.00,0.00,45.00,-45.00
IC1X11,PTH,MCP23017SP,DIL28-3,mcp23017sp-dil28-3,0.00,0.00,0.00,0.00
IC1X12,PTH,MCP23017SP,DIL28-3,mcp23017sp-dil28-3,0.00,0.00,0.00,0.00
J1X11,PTH,,DCJ0202,-dcj0202,0.00,0.00,270.00,90.00
J1X12,PTH,,DCJ0202,-dcj0202,0.00,0.00,270.00,90.00
LABEL1X11,PTH,7-12vDC,PWR_LABEL,7-12vdc-pwr_label,0.00,0.00,90.00,-90.00
LABEL1X12,PTH,7-12vDC,PWR_LABEL,7-12vdc-pwr_label,0.00,0.00,90.00,-90.00
LS2X11,PTH,,MODULE,-module,0.00,0.00,0.00,0.00
LS2X12,PTH,,MODULE,-module,0.00,0.00,0.00,0.00
OSHW1X11,PTH,DOC-OSHW-LOGO-L,OSHW-LOGO-L,doc-oshw-logo-l-oshw-logo-l,0.00,0.00,0.00,0.00
OSHW1X12,PTH,DOC-OSHW-LOGO-L,OSHW-LOGO-L,doc-oshw-logo-l-oshw-logo-l,0.00,0.00,0.00,0.00
U$1X11,PTH,DOC-MRCS-LOGOTOP,MRCS-LOGO,doc-mrcs-logotop-mrcs-logo,0.00,0.00,0.00,0.00
U$1X12,PTH,DOC-MRCS-LOGOTOP,MRCS-LOGO,doc-mrcs-logotop-mrcs-logo,0.00,0.00,0.00,0.00
VR5.0X11,PTH,5v,TO-220-RA,5v-to-220-ra,0.00,0.00,0.00,0.00
VR5.0X12,PTH,5v,TO-220-RA,5v-to-220-ra,0.00,0.00,0.00,0.00
WEMOSX11,PTH,D1Mini,WEMOS-D1,d1mini-wemos-d1,0.00,0.00,270.00,90.00
WEMOSX12,PTH,D1Mini,WEMOS-D1,d1mini-wemos-d1,0.00,0.00,270.00,90.00
