# name, smd?, value, package, component, x, y, angle
ARDUINO1X11, PTH, , ARDUINO_PRO_MINI_DAVEK, -arduino_pro_mini_davek, 0.00, 0.00, 270.00
ARDUINO1X12, PTH, , ARDUINO_PRO_MINI_DAVEK, -arduino_pro_mini_davek, 0.00, 0.00, 270.00
ARDUINO1X13, PTH, , ARDUINO_PRO_MINI_DAVEK, -arduino_pro_mini_davek, 0.00, 0.00, 270.00
BBLEOX11, PTH, , ARDUINO-BBLEO, -arduino-bbleo, 0.00, 0.00, 0.00
BBLEOX12, PTH, , ARDUINO-BBLEO, -arduino-bbleo, 0.00, 0.00, 0.00
BBLEOX13, PTH, , ARDUINO-BBLEO, -arduino-bbleo, 0.00, 0.00, 0.00
C1X11, PTH, , E5-10.5, -e5-10.5, 0.00, 0.00, 90.00
C1X12, PTH, , E5-10.5, -e5-10.5, 0.00, 0.00, 90.00
C1X13, PTH, , E5-10.5, -e5-10.5, 0.00, 0.00, 90.00
C2X11, PTH, , C050-024X044, -c050-024x044, 0.00, 0.00, 90.00
C2X12, PTH, , C050-024X044, -c050-024x044, 0.00, 0.00, 90.00
C2X13, PTH, , C050-024X044, -c050-024x044, 0.00, 0.00, 90.00
C3X11, PTH, , C050-024X044, -c050-024x044, 0.00, 0.00, 270.00
C3X12, PTH, , C050-024X044, -c050-024x044, 0.00, 0.00, 270.00
C3X13, PTH, , C050-024X044, -c050-024x044, 0.00, 0.00, 270.00
J1X11, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 270.00
J1X12, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 270.00
J1X13, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 270.00
JP1X11, SMD, , SJ_2S-NO, -sj_2s-no, 60.96, 4.45, 90.00
JP1X12, SMD, , SJ_2S-NO, -sj_2s-no, 60.96, 37.72, 90.00
JP1X13, SMD, , SJ_2S-NO, -sj_2s-no, 60.96, 70.99, 90.00
LABEL1X11, PTH, , PWR_LABEL, -pwr_label, 0.00, 0.00, 90.00
LABEL1X12, PTH, , PWR_LABEL, -pwr_label, 0.00, 0.00, 90.00
LABEL1X13, PTH, , PWR_LABEL, -pwr_label, 0.00, 0.00, 90.00
OSHW1X11, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
OSHW1X12, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
OSHW1X13, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
VR5.0X11, PTH, , TO-220-RA-SINK, -to-220-ra-sink, 0.00, 0.00, 270.00
VR5.0X12, PTH, , TO-220-RA-SINK, -to-220-ra-sink, 0.00, 0.00, 270.00
VR5.0X13, PTH, , TO-220-RA-SINK, -to-220-ra-sink, 0.00, 0.00, 270.00
