# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
ARDUINO1X11,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,270.00,90.00
ARDUINO1X12,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,270.00,90.00
ARDUINO1X13,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,270.00,90.00
BBLEOX11,PTH,Footprint,ARDUINO-BBLEO,footprint-arduino-bbleo,0.00,0.00,0.00,0.00
BBLEOX12,PTH,Footprint,ARDUINO-BBLEO,footprint-arduino-bbleo,0.00,0.00,0.00,0.00
BBLEOX13,PTH,Footprint,ARDUINO-BBLEO,footprint-arduino-bbleo,0.00,0.00,0.00,0.00
C1X11,PTH,150uF,E5-10.5,150uf-e5-10.5,0.00,0.00,90.00,-90.00
C1X12,PTH,150uF,E5-10.5,150uf-e5-10.5,0.00,0.00,90.00,-90.00
C1X13,PTH,150uF,E5-10.5,150uf-e5-10.5,0.00,0.00,90.00,-90.00
C2X11,PTH,1.0uF,C050-024X044,1.0uf-c050-024x044,0.00,0.00,90.00,-90.00
C2X12,PTH,1.0uF,C050-024X044,1.0uf-c050-024x044,0.00,0.00,90.00,-90.00
C2X13,PTH,1.0uF,C050-024X044,1.0uf-c050-024x044,0.00,0.00,90.00,-90.00
C3X11,PTH,10uF,C050-024X044,10uf-c050-024x044,0.00,0.00,270.00,90.00
C3X12,PTH,10uF,C050-024X044,10uf-c050-024x044,0.00,0.00,270.00,90.00
C3X13,PTH,10uF,C050-024X044,10uf-c050-024x044,0.00,0.00,270.00,90.00
J1X11,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,270.00,90.00
J1X12,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,270.00,90.00
J1X13,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,270.00,90.00
LABEL1X11,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
LABEL1X12,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
LABEL1X13,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
OSHW1X11,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
OSHW1X12,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
OSHW1X13,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
R1X11,PTH,2k2,AXIAL-0.3-RES,2k2-axial-0.3-res,0.00,0.00,180.00,-180.00
R1X12,PTH,2k2,AXIAL-0.3-RES,2k2-axial-0.3-res,0.00,0.00,180.00,-180.00
R1X13,PTH,2k2,AXIAL-0.3-RES,2k2-axial-0.3-res,0.00,0.00,180.00,-180.00
VR5.0X11,PTH,5v,TO-220-RA,5v-to-220-ra,0.00,0.00,270.00,90.00
VR5.0X12,PTH,5v,TO-220-RA,5v-to-220-ra,0.00,0.00,270.00,90.00
VR5.0X13,PTH,5v,TO-220-RA,5v-to-220-ra,0.00,0.00,270.00,90.00
