# name, smd?, value, package, component, x, y, angle
BR1X11, PTH, , RB1A, -rb1a, 0.00, 0.00, 180.00
BR1X12, PTH, , RB1A, -rb1a, 0.00, 0.00, 180.00
BR1X21, PTH, , RB1A, -rb1a, 0.00, 0.00, 180.00
BR1X22, PTH, , RB1A, -rb1a, 0.00, 0.00, 180.00
C1X11, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C1X12, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C1X21, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C1X22, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C2X11, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C2X12, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C2X21, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
C2X22, PTH, , E2.5-6, -e2.5-6, 0.00, 0.00, 90.00
J1X11, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J1X12, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J1X21, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J1X22, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J2X11, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J2X12, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J2X21, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
J2X22, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
VR1X11, PTH, , TO-92, -to-92, 0.00, 0.00, 180.00
VR1X12, PTH, , TO-92, -to-92, 0.00, 0.00, 180.00
VR1X21, PTH, , TO-92, -to-92, 0.00, 0.00, 180.00
VR1X22, PTH, , TO-92, -to-92, 0.00, 0.00, 180.00
X1X11, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 90.00
X1X12, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 90.00
X1X21, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 90.00
X1X22, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 90.00
X2X11, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X2X12, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X2X21, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X2X22, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X3X11, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X3X12, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X3X21, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X3X22, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 270.00
X4X11, PTH, , KK-156-5, -kk-156-5, 0.00, 0.00, 180.00
X4X12, PTH, , KK-156-5, -kk-156-5, 0.00, 0.00, 180.00
X4X21, PTH, , KK-156-5, -kk-156-5, 0.00, 0.00, 180.00
X4X22, PTH, , KK-156-5, -kk-156-5, 0.00, 0.00, 180.00
