# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
ARDUINO1,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,270.00,90.00
BOARD1,PTH,BOARD,BOARD-DINRAIL-2.71IN-MRCS,board-board-dinrail-2.71in-mrcs,0.00,0.00,0.00,0.00
C1,PTH,0.1uF,C-PTH-0.100,0.1uf-c-pth-0.100,0.00,0.00,90.00,-90.00
C2,PTH,0.01uF,C-PTH-0.100,0.01uf-c-pth-0.100,0.00,0.00,270.00,90.00
C3,PTH,0.01uF,C-PTH-0.100,0.01uf-c-pth-0.100,0.00,0.00,180.00,-180.00
C4,PTH,0.01uF,C-PTH-0.100,0.01uf-c-pth-0.100,0.00,0.00,0.00,0.00
C5,PTH,0.01uF,C-PTH-0.100,0.01uf-c-pth-0.100,0.00,0.00,270.00,90.00
C6,PTH,10uF,C050-024X044,10uf-c050-024x044,0.00,0.00,90.00,-90.00
C7,PTH,1.0uF,C050-024X044,1.0uf-c050-024x044,0.00,0.00,270.00,90.00
C8,PTH,150uF,E5-10.5,150uf-e5-10.5,0.00,0.00,90.00,-90.00
CON1,PTH,0.100,1X06-SIP_LOCK,0.100-1x06-sip_lock,0.00,0.00,180.00,-180.00
CON2,PTH,0.100,1X06-SIP_LOCK,0.100-1x06-sip_lock,0.00,0.00,180.00,-180.00
CON3,PTH,0.100,1X06-SIP_LOCK,0.100-1x06-sip_lock,0.00,0.00,180.00,-180.00
CON4,PTH,0.100,1X06-SIP_LOCK,0.100-1x06-sip_lock,0.00,0.00,180.00,-180.00
CON5,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,0.00,0.00
CON6,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,0.00,0.00
D1,PTH,1N4148,DIODE-1N4148,1n4148-diode-1n4148,0.00,0.00,90.00,-90.00
GND,PTH,0.100,MOLEX-1X2_LOCK,0.100-molex-1x2_lock,0.00,0.00,180.00,-180.00
I2CHDR,PTH,0.100,1X04/90,0.100-1x04/90,0.00,0.00,270.00,90.00
IO1,PTH,0.100,1X08,0.100-1x08,0.00,0.00,180.00,-180.00
IO2,PTH,0.100,1X08,0.100-1x08,0.00,0.00,180.00,-180.00
IO3,PTH,0.100,1X08,0.100-1x08,0.00,0.00,180.00,-180.00
IO4,PTH,0.100,1X08,0.100-1x08,0.00,0.00,180.00,-180.00
J1,PTH,0.100,1X08_LOCK_LONGPADS,0.100-1x08_lock_longpads,0.00,0.00,180.00,-180.00
J2,PTH,0.100,1X08_LOCK_LONGPADS,0.100-1x08_lock_longpads,0.00,0.00,180.00,-180.00
J3,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,0.00,0.00
LABEL1,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
LEDCOM,PTH,0.100,MOLEX-1X2_LOCK,0.100-molex-1x2_lock,0.00,0.00,180.00,-180.00
P1,SMD,CA   CC,3P-SMD-2X4.8,ca   cc-3p-smd-2x4.8,93.34,46.99,180.00,-180.00
R1,PTH,12k,AXIAL-0.4-RES,12k-axial-0.4-res,0.00,0.00,270.00,90.00
R2,PTH,470,AXIAL-0.4-RES,470-axial-0.4-res,0.00,0.00,90.00,-90.00
R3,PTH,2k2,AXIAL-0.4-RES,2k2-axial-0.4-res,0.00,0.00,270.00,90.00
RS485-1,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,0.00,0.00
RS485-2,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,0.00,0.00
RS485-3,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,0.00,0.00
RS485-4,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,0.00,0.00
SJ1,SMD,OFF,SJ,off-sj,83.82,44.45,270.00,90.00
SJ2,SMD,OFF,SJ,off-sj,81.28,44.45,270.00,90.00
SJ3,SMD,OFF,SJ,off-sj,78.74,44.45,270.00,90.00
SJ4,SMD,OFF,SJ,off-sj,76.20,44.45,270.00,90.00
SJ5,SMD,OFF,SJ,off-sj,73.66,44.45,270.00,90.00
SJ6,SMD,OFF,SJ,off-sj,71.12,44.45,270.00,90.00
SJ7,SMD,OFF,SJ,off-sj,68.58,44.45,270.00,90.00
SJ8,SMD,OFF,SJ,off-sj,66.04,44.45,270.00,90.00
SJ9,SMD,OFF,SJ,off-sj,63.50,44.45,270.00,90.00
SJ10,SMD,OFF,SJ,off-sj,60.96,44.45,270.00,90.00
SJ11,SMD,OFF,SJ,off-sj,58.42,44.45,270.00,90.00
SJ12,SMD,OFF,SJ,off-sj,55.88,44.45,270.00,90.00
SJ13,SMD,OFF,SJ,off-sj,53.34,44.45,270.00,90.00
SJ14,SMD,OFF,SJ,off-sj,50.80,44.45,270.00,90.00
SJ15,SMD,OFF,SJ,off-sj,48.26,44.45,270.00,90.00
SJ16,SMD,OFF,SJ,off-sj,45.72,44.45,270.00,90.00
TX,PTH,G,LED3MM,g-led3mm,0.00,0.00,180.00,-180.00
U$1,PTH,CREATIVE_COMMONS,CREATIVE_COMMONS,creative_commons-creative_commons,0.00,0.00,0.00,0.00
U$2,PTH,Prop65,CA-PROP65WARNING,prop65-ca-prop65warning,0.00,0.00,0.00,0.00
U$3,PTH,MRCS,MRCS-LOGO,mrcs-mrcs-logo,0.00,0.00,0.00,0.00
U1,PTH,MAX3465CPD,DIL14,max3465cpd-dil14,0.00,0.00,90.00,-90.00
U2,PTH,NE555P,DIL-08,ne555p-dil-08,0.00,0.00,0.00,0.00
VR5.0,PTH,5v,TO-220-RA,5v-to-220-ra,0.00,0.00,90.00,-90.00
