# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
P1,SMD,CA   CC,3P-SMD-2X4.8,ca   cc-3p-smd-2x4.8,93.34,49.53,180.00,-180.00
SJ1,SMD,OFF,SJ,off-sj,83.82,48.26,270.00,90.00
SJ2,SMD,OFF,SJ,off-sj,81.28,48.26,270.00,90.00
SJ3,SMD,OFF,SJ,off-sj,78.74,48.26,270.00,90.00
SJ4,SMD,OFF,SJ,off-sj,76.20,48.26,270.00,90.00
SJ5,SMD,OFF,SJ,off-sj,73.66,48.26,270.00,90.00
SJ6,SMD,OFF,SJ,off-sj,71.12,48.26,270.00,90.00
SJ7,SMD,OFF,SJ,off-sj,68.58,48.26,270.00,90.00
SJ8,SMD,OFF,SJ,off-sj,66.04,48.26,270.00,90.00
SJ9,SMD,OFF,SJ,off-sj,63.50,48.26,270.00,90.00
SJ10,SMD,OFF,SJ,off-sj,60.96,48.26,270.00,90.00
SJ11,SMD,OFF,SJ,off-sj,58.42,48.26,270.00,90.00
SJ12,SMD,OFF,SJ,off-sj,55.88,48.26,270.00,90.00
SJ13,SMD,OFF,SJ,off-sj,53.34,48.26,270.00,90.00
SJ14,SMD,OFF,SJ,off-sj,50.80,48.26,270.00,90.00
SJ15,SMD,OFF,SJ,off-sj,48.26,48.26,270.00,90.00
SJ16,SMD,OFF,SJ,off-sj,45.72,48.26,270.00,90.00
