# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-2.7IN, board80x150-board-dinrail-2.7in, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 30.48, 180.00
C2, SMD, 1.0uF, 0805-CAP@1, 1.0uf-0805-cap@1, 14.60, 38.10, 315.00
C3, SMD, 10uF, 0805-CAP@1, 10uf-0805-cap@1, 19.68, 38.10, 225.00
C4, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 63.50, 31.12, 180.00
C6, SMD, .01uF, 0805-CAP, .01uf-0805-cap, 69.85, 29.53, 90.00
C7, SMD, .1uF, 0805-CAP, .1uf-0805-cap, 74.93, 21.59, 270.00
C8, SMD, .1uF, 0603-CAP, .1uf-0603-cap, 74.93, 39.37, 270.00
CON1, PTH, 3.5MM, SCREWTERMINAL-5MM-3, 3.5mm-screwterminal-5mm-3, 0.00, 0.00, 180.00
CON2, PTH, 3.5MM, SCREWTERMINAL-5MM-3, 3.5mm-screwterminal-5mm-3, 0.00, 0.00, 180.00
CON3, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 180.00
CON4, PTH, , SCREWTERMINAL-5MM-2, -screwterminal-5mm-2, 0.00, 0.00, 180.00
CON5, PTH, , SCREWTERMINAL-3.5MM-2_LOCK, -screwterminal-3.5mm-2_lock, 0.00, 0.00, 90.00
D1, SMD, BAV-199, SOT23, bav-199-sot23, 58.42, 21.27, 270.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
J1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
LABEL1, PTH, 7-12vDC, POWER_USAGE, 7-12vdc-power_usage, 0.00, 0.00, 90.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
Q2, SMD, 2n7002, SOT23, 2n7002-sot23, 45.72, 30.48, 0.00
Q3, SMD, 2n7002, SOT23, 2n7002-sot23, 40.64, 30.48, 0.00
Q4, SMD, 2n7002, SOT23, 2n7002-sot23, 30.48, 30.48, 0.00
Q5, SMD, 2n7002, SOT23, 2n7002-sot23, 35.56, 30.48, 0.00
R1, PTH, , 1/6W-RES, -1/6w-res, 0.00, 0.00, 180.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 45.72, 26.04, 180.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 45.72, 35.56, 90.00
R5, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 26.04, 180.00
R6, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 35.56, 90.00
R7, SMD, 10k, 0805-RES, 10k-0805-res, 30.48, 26.04, 180.00
R8, SMD, 10k, 0805-RES, 10k-0805-res, 30.48, 35.56, 90.00
R9, SMD, 10k, 0805-RES, 10k-0805-res, 35.56, 26.04, 180.00
R10, SMD, 10k, 0805-RES, 10k-0805-res, 35.56, 35.56, 90.00
R14, SMD, 1k0, 0805-RES, 1k0-0805-res, 66.67, 13.97, 180.00
RS485IN, PTH, , 1X05, -1x05, 0.00, 0.00, 90.00
RS485OUT, PTH, , 1X05_LOCK, -1x05_lock, 0.00, 0.00, 90.00
TX, SMD, TX, 0603-LED, tx-0603-led, 62.23, 13.97, 180.00
U3, PTH, NE555P, DIL-08, ne555p-dil-08, 0.00, 0.00, 0.00
U4, PTH, MAX3465CPD, DIL14, max3465cpd-dil14, 0.00, 0.00, 0.00
VR5.0, SMD, 5v, TO-252, 5v-to-252, 17.14, 45.19, 0.00
WEMOS, PTH, D1Mini, WEMOS-D1, d1mini-wemos-d1, 0.00, 0.00, 180.00
