# name, smd?, value, package, component, x, y, angle
BBLEO, PTH, , ARDUINO-BBLEO, -arduino-bbleo, 0.00, 0.00, 0.00
BOARD1, PTH, BOARD69X100MRCS, BOARD-DINRAIL-2.71IN-MRCS, board69x100mrcs-board-dinrail-2.71in-mrcs, 0.00, 0.00, 0.00
C1, PTH, 0.1uF, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 180.00
C2, PTH, .01uF, CAP-PTH-SMALL2, .01uf-cap-pth-small2, 0.00, 0.00, 270.00
C3, PTH, .01uF, CAP-PTH-SMALL2, .01uf-cap-pth-small2, 0.00, 0.00, 0.00
C4, PTH, .01uF, CAP-PTH-SMALL2, .01uf-cap-pth-small2, 0.00, 0.00, 0.00
C5, PTH, .01uF, CAP-PTH-SMALL2, .01uf-cap-pth-small2, 0.00, 0.00, 270.00
D1, PTH, 1N4148DO35-10, DO35-10, 1n4148do35-10-do35-10, 0.00, 0.00, 90.00
GND, PTH, , MOLEX-1X2_LOCK, -molex-1x2_lock, 0.00, 0.00, 180.00
I2CHDR, PTH, , 1X04/90, -1x04/90, 0.00, 0.00, 270.00
IO1, PTH, , 1X08, -1x08, 0.00, 0.00, 180.00
IO2, PTH, , 1X08, -1x08, 0.00, 0.00, 180.00
IO3, PTH, , 1X08, -1x08, 0.00, 0.00, 180.00
IO4, PTH, , 1X08, -1x08, 0.00, 0.00, 180.00
J1, PTH, , 1X08_LOCK_LONGPADS, -1x08_lock_longpads, 0.00, 0.00, 180.00
J2, PTH, , 1X08_LOCK_LONGPADS, -1x08_lock_longpads, 0.00, 0.00, 180.00
LEDCOM, PTH, , MOLEX-1X2_LOCK, -molex-1x2_lock, 0.00, 0.00, 180.00
P1, SMD, CA   CC, 3P-SMD-2X4.8, ca   cc-3p-smd-2x4.8, 93.34, 49.53, 180.00
R1, PTH, , AXIAL-0.4, -axial-0.4, 0.00, 0.00, 180.00
R2, PTH, 470, AXIAL-0.4, 470-axial-0.4, 0.00, 0.00, 90.00
RS485-1, PTH, Molex, KK-156-5, molex-kk-156-5, 0.00, 0.00, 0.00
RS485-2, PTH, Molex, KK-156-5, molex-kk-156-5, 0.00, 0.00, 0.00
RS485-3, PTH, 3.5mm, CMRINET-3.5MM, 3.5mm-cmrinet-3.5mm, 0.00, 0.00, 0.00
RS485-4, PTH, 3.5mm, CMRINET-3.5MM, 3.5mm-cmrinet-3.5mm, 0.00, 0.00, 0.00
SJ1, SMD, , SJ, -sj, 83.82, 48.26, 270.00
SJ2, SMD, , SJ, -sj, 81.28, 48.26, 270.00
SJ3, SMD, , SJ, -sj, 78.74, 48.26, 270.00
SJ4, SMD, , SJ, -sj, 76.20, 48.26, 270.00
SJ5, SMD, , SJ, -sj, 73.66, 48.26, 270.00
SJ6, SMD, , SJ, -sj, 71.12, 48.26, 270.00
SJ7, SMD, , SJ, -sj, 68.58, 48.26, 270.00
SJ8, SMD, , SJ, -sj, 66.04, 48.26, 270.00
SJ9, SMD, , SJ, -sj, 63.50, 48.26, 270.00
SJ10, SMD, , SJ, -sj, 60.96, 48.26, 270.00
SJ11, SMD, , SJ, -sj, 58.42, 48.26, 270.00
SJ12, SMD, , SJ, -sj, 55.88, 48.26, 270.00
SJ13, SMD, , SJ, -sj, 53.34, 48.26, 270.00
SJ14, SMD, , SJ, -sj, 50.80, 48.26, 270.00
SJ15, SMD, , SJ, -sj, 48.26, 48.26, 270.00
SJ16, SMD, , SJ, -sj, 45.72, 48.26, 270.00
TX, PTH, , LED3MM, -led3mm, 0.00, 0.00, 90.00
U$1, PTH, CREATIVE_COMMONS, CREATIVE_COMMONS, creative_commons-creative_commons, 0.00, 0.00, 0.00
U$2, PTH, CA-PROP65WARNING, CA-PROP65WARNING, ca-prop65warning-ca-prop65warning, 0.00, 0.00, 0.00
U$3, PTH, , MRCS-LOGO, -mrcs-logo, 0.00, 0.00, 0.00
U1, PTH, MAX3465CPD, DIL14, max3465cpd-dil14, 0.00, 0.00, 90.00
U2, PTH, NE555P, DIL-08, ne555p-dil-08, 0.00, 0.00, 0.00
