# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, BOARD50X50, BOARD-SEEED5X5, board50x50-board-seeed5x5, 0.00, 0.00, 0.00
C1, PTH, 100uF, E5-10.5, 100uf-e5-10.5, 0.00, 0.00, 90.00
C2, PTH, 0.1uf, C050-024X044, 0.1uf-c050-024x044, 0.00, 0.00, 90.00
CON1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 270.00
DCCOD, PTH, , KK-156-5, -kk-156-5, 0.00, 0.00, 0.00
LED1, PTH, , LED5MM, -led5mm, 0.00, 0.00, 180.00
R1, PTH, 15k, AXIAL-0.3-RES, 15k-axial-0.3-res, 0.00, 0.00, 180.00
R2, PTH, 10k, AXIAL-0.3-RES, 10k-axial-0.3-res, 0.00, 0.00, 180.00
R3, PTH, 5k, AXIAL-0.3-RES, 5k-axial-0.3-res, 0.00, 0.00, 180.00
R4, PTH, 2k, AXIAL-0.3-RES, 2k-axial-0.3-res, 0.00, 0.00, 180.00
SW1, PTH, , B3F-10XX, -b3f-10xx, 0.00, 0.00, 270.00
SW2, PTH, , B3F-10XX, -b3f-10xx, 0.00, 0.00, 270.00
SW3, PTH, , B3F-10XX, -b3f-10xx, 0.00, 0.00, 270.00
U$1, PTH, +12v, POWER_USAGE, +12v-power_usage, 0.00, 0.00, 180.00
