# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1,PTH,,MSTB2,-mstb2,0.00,0.00,0.00,0.00
J1,PTH,,1X08_LOCK,-1x08_lock,0.00,0.00,0.00,0.00
J2,PTH,,1X08_LOCK,-1x08_lock,0.00,0.00,180.00,-180.00
LED1,PTH,,LED5MM,-led5mm,0.00,0.00,0.00,0.00
LED2,PTH,,LED5MM,-led5mm,0.00,0.00,0.00,0.00
LED3,PTH,,LED5MM,-led5mm,0.00,0.00,0.00,0.00
LED4,PTH,,LED5MM,-led5mm,0.00,0.00,0.00,0.00
LED5,PTH,,LED5MM,-led5mm,0.00,0.00,0.00,0.00
LED6,PTH,,LED5MM,-led5mm,0.00,0.00,0.00,0.00
SW1,PTH,,SWITCH-SPDT-508,-switch-spdt-508,0.00,0.00,0.00,0.00
SW2,PTH,,SWITCH-SPDT-508,-switch-spdt-508,0.00,0.00,0.00,0.00
SW3,PTH,,SWITCH-SPDT-508,-switch-spdt-508,0.00,0.00,0.00,0.00
