# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,BOARD,BOARD-DINRAIL-3.17INX10CM,board-board-dinrail-3.17inx10cm,0.00,0.00,0.00,0.00
C1,SMD,220uF,0810-CAP,220uf-0810-cap,13.97,83.82,180.00,-180.00
C2,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,5.08,36.83,180.00,-180.00
C3,SMD,10uF,0603-CAP,10uf-0603-cap,5.08,30.48,180.00,-180.00
CON1,PTH,LCD,I2C-L,lcd-i2c-l,0.00,0.00,0.00,0.00
J4,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,270.00,90.00
LED1,SMD,G,0603-LED,g-0603-led,21.59,73.66,0.00,0.00
LED2,SMD,R,0603-LED,r-0603-led,21.59,77.47,0.00,0.00
LED3,PTH,G,LED5MM,g-led5mm,0.00,0.00,0.00,0.00
LED4,PTH,R,LED5MM,r-led5mm,0.00,0.00,0.00,0.00
LOGO1,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
POWER,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
R1,SMD,1K0,0603-RES,1k0-0603-res,27.94,73.66,0.00,0.00
R2,SMD,1K0,0603-RES,1k0-0603-res,27.94,77.47,0.00,0.00
U$1,PTH,Mini-R2,WEMOS-D1,mini-r2-wemos-d1,0.00,0.00,270.00,90.00
U$2,PTH,RFIDBACK,RC522-REVERSE,rfidback-rc522-reverse,0.00,0.00,90.00,-90.00
U$3,PTH,LCD,LCD-16X2-SILK,lcd-lcd-16x2-silk,0.00,0.00,0.00,0.00
VR,SMD,CJ7805,TO-252,cj7805-to-252,12.81,33.66,0.00,0.00
