# name, smd?, value, package, component, x, y, angle
C1, SMD, 20pf, 0603-CAP, 20pf-0603-cap, 61.47, 4.06, 0.00
C2, SMD, 20pf, 0603-CAP, 20pf-0603-cap, 57.40, 4.06, 0.00
C3, PTH, 0.1uf, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 180.00
C4, PTH, 0.1uf, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 270.00
J1, PTH, I2C, MA04-1, i2c-ma04-1, 0.00, 0.00, 270.00
J2, PTH, , MA09-1, -ma09-1, 0.00, 0.00, 270.00
J3, PTH, , MA09-1, -ma09-1, 0.00, 0.00, 270.00
J4, PTH, MST4V, MSTBV4, mst4v-mstbv4, 0.00, 0.00, 0.00
J5, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
J6, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
JP1, PTH, , 1X02, -1x02, 0.00, 0.00, 0.00
JP2, PTH, M11LOCK, 1X11_LOCK, m11lock-1x11_lock, 0.00, 0.00, 90.00
JP3, PTH, M11LOCK, 1X11_LOCK, m11lock-1x11_lock, 0.00, 0.00, 90.00
JP4, PTH, J-04-100-2X02, HDR-100-2X02, j-04-100-2x02-hdr-100-2x02, 0.00, 0.00, 270.00
L1, SMD, ZJYS51R5-2P, ZJYS, zjys51r5-2p-zjys, 33.86, 36.13, 0.00
LED1, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
LED2, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
LED3, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
LED4, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
Q1, PTH, 2N3904, TO92, 2n3904-to92, 0.00, 0.00, 0.00
R1, SMD, 4k7, R1206W, 4k7-r1206w, 60.83, 29.85, 90.00
R2, SMD, 27k, R1206W, 27k-r1206w, 69.98, 30.10, 90.00
R3, SMD, 39k, R1206W, 39k-r1206w, 72.77, 30.10, 270.00
R4, SMD, 47k, R1206W, 47k-r1206w, 75.56, 30.10, 270.00
R5, SMD, 150k, R1206W, 150k-r1206w, 78.36, 30.10, 270.00
R6, SMD, 240k, R1206W, 240k-r1206w, 81.15, 30.10, 270.00
R7, SMD, 1k, R1206W, 1k-r1206w, 83.88, 30.10, 90.00
R8, SMD, 120R, R1206W, 120r-r1206w, 46.99, 40.64, 0.00
R9, SMD, 470R, R1206W, 470r-r1206w, 29.46, 19.56, 90.00
R10, SMD, 470R, R1206W, 470r-r1206w, 32.00, 19.56, 90.00
R11, SMD, 470R, R1206W, 470r-r1206w, 34.54, 19.56, 90.00
R12, SMD, 470R, R1206W, 470r-r1206w, 37.08, 19.56, 90.00
R13, SMD, 10k, R1206W, 10k-r1206w, 39.62, 19.56, 90.00
R14, SMD, 47R, R1206W, 47r-r1206w, 57.91, 29.72, 270.00
U1, PTH, LM393N, DIL08, lm393n-dil08, 0.00, 0.00, 0.00
U2, PTH, MCP2515-P, DIL18, mcp2515-p-dil18, 0.00, 0.00, 0.00
U3, PTH, MCP2551-P, DIL08, mcp2551-p-dil08, 0.00, 0.00, 0.00
X16M, PTH, , HC49/S, -hc49/s, 0.00, 0.00, 180.00
Y1, PTH, RESONATORPTH, RESONATOR-PTH, resonatorpth-resonator-pth, 0.00, 0.00, 0.00
