# name, smd?, value, package, component, x, y, angle
C3, PTH, 0.1uf, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 90.00
C4, PTH, 0.1uf, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 270.00
J2, PTH, , MA09-1, -ma09-1, 0.00, 0.00, 270.00
J3, PTH, , MA09-1, -ma09-1, 0.00, 0.00, 270.00
J4, PTH, RJ45-8X, RJ45-NO-SHIELD, rj45-8x-rj45-no-shield, 0.00, 0.00, 180.00
J5, PTH, RJ45-8X, RJ45-NO-SHIELD, rj45-8x-rj45-no-shield, 0.00, 0.00, 180.00
J6, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
J7, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
JP1, PTH, , 1X02, -1x02, 0.00, 0.00, 0.00
JP4, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 270.00
JP5, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 270.00
L1, SMD, ZJYS51R5-2P, ZJYS, zjys51r5-2p-zjys, 36.89, 29.39, 270.00
LED1, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
LED2, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
LED3, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
LED4, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 90.00
Q1, PTH, 2N3904, TO92, 2n3904-to92, 0.00, 0.00, 90.00
R1, SMD, 47R, R1206W, 47r-r1206w, 61.72, 29.97, 270.00
R2, SMD, 4k7, R1206W, 4k7-r1206w, 64.64, 29.85, 90.00
R3, SMD, 27k, R1206W, 27k-r1206w, 67.44, 29.85, 90.00
R4, SMD, 39k, R1206W, 39k-r1206w, 70.23, 29.85, 270.00
R5, SMD, 47k, R1206W, 47k-r1206w, 73.03, 29.85, 270.00
R6, SMD, 150k, R1206W, 150k-r1206w, 75.82, 29.85, 270.00
R7, SMD, 240k, R1206W, 240k-r1206w, 78.61, 29.85, 270.00
R8, SMD, 1k, R1206W, 1k-r1206w, 81.34, 29.85, 90.00
R9, SMD, 470R, R1206W, 470r-r1206w, 84.14, 29.85, 90.00
R10, SMD, 82R, R1206W, 82r-r1206w, 77.47, 8.64, 90.00
R21, SMD, 470R, R1206W, 470r-r1206w, 25.40, 12.95, 180.00
R22, SMD, 470R, R1206W, 470r-r1206w, 31.24, 12.95, 180.00
R23, SMD, 470R, R1206W, 470r-r1206w, 37.08, 12.95, 180.00
R24, SMD, 10k, R1206W, 10k-r1206w, 36.83, 19.05, 180.00
SV2, PTH, , MA05-1, -ma05-1, 0.00, 0.00, 90.00
U1, PTH, LM393N, DIL08, lm393n-dil08, 0.00, 0.00, 0.00
U2, PTH, MCP2515-P, DIL18, mcp2515-p-dil18, 0.00, 0.00, 0.00
U3, PTH, MCP2551-P, DIL08, mcp2551-p-dil08, 0.00, 0.00, 270.00
U4, SMD, LM317LD, SO08, lm317ld-so08, 70.36, 8.13, 90.00
Y1, PTH, 16Mhz, RESONATOR-PTH, 16mhz-resonator-pth, 0.00, 0.00, 0.00
