# name, smd?, value, package, component, x, y, angle
C1, PTH, .1uf, CAP-PTH-SMALL2, .1uf-cap-pth-small2, 0.00, 0.00, 0.00
C2, PTH, .1uf, CAP-PTH-SMALL2, .1uf-cap-pth-small2, 0.00, 0.00, 0.00
C3, PTH, .1uf, CAP-PTH-SMALL2, .1uf-cap-pth-small2, 0.00, 0.00, 270.00
C5, PTH, .1uF, CAP-PTH-SMALL2, .1uf-cap-pth-small2, 0.00, 0.00, 90.00
C6, PTH, .1uF, CAP-PTH-SMALL2, .1uf-cap-pth-small2, 0.00, 0.00, 0.00
C7, PTH, .1uF, CAP-PTH-SMALL2, .1uf-cap-pth-small2, 0.00, 0.00, 90.00
D1, PTH, 1N4004, DO41-10, 1n4004-do41-10, 0.00, 0.00, 180.00
D2, PTH, 1N4004, DO41-10, 1n4004-do41-10, 0.00, 0.00, 0.00
J1, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 270.00
J2, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 90.00
J3, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 90.00
J4, PTH, RJ45, RJ45-NO-SHIELD, rj45-rj45-no-shield, 0.00, 0.00, 90.00
J5, PTH, RJ45, RJ45-NO-SHIELD, rj45-rj45-no-shield, 0.00, 0.00, 90.00
JP1, PTH, LN_TERM, 1X02, ln_term-1x02, 0.00, 0.00, 0.00
JP2, PTH, RXD-LN, 1X03, rxd-ln-1x03, 0.00, 0.00, 0.00
JP5, PTH, RXD, 1X03, rxd-1x03, 0.00, 0.00, 180.00
JP6, PTH, EN, 1X03, en-1x03, 0.00, 0.00, 180.00
JP7, PTH, TXD, 1X03, txd-1x03, 0.00, 0.00, 180.00
L1, SMD, ZJYS51R5-2P, ZJYS, zjys51r5-2p-zjys, 74.87, 14.30, 90.00
LED4, SMD, Loconet, CHIP-LED0805, loconet-chip-led0805, 27.43, 71.37, 90.00
LED5, SMD, DCC, CHIP-LED0805, dcc-chip-led0805, 21.08, 71.37, 270.00
MOD1, PTH, ARDUINO DUEMILANOVE, ARDUINO-BIGSHIELD, arduino duemilanove-arduino-bigshield, 0.00, 0.00, 0.00
Q1, PTH, 2N3904, TO92, 2n3904-to92, 0.00, 0.00, 180.00
R1, SMD, 15R, R1206, 15r-r1206, 58.17, 56.13, 180.00
R2, SMD, 4k7, R1206, 4k7-r1206, 58.17, 53.34, 0.00
R3, SMD, 27k, R1206, 27k-r1206, 58.17, 50.55, 0.00
R4, SMD, 39k, R1206, 39k-r1206, 58.17, 47.75, 180.00
R5, SMD, 47k, R1206, 47k-r1206, 58.17, 44.96, 180.00
R6, SMD, 150k, R1206, 150k-r1206, 58.17, 42.16, 180.00
R7, SMD, 240k, R1206, 240k-r1206, 58.17, 39.37, 180.00
R8, SMD, 1k, R1206, 1k-r1206, 58.17, 36.58, 0.00
R9, SMD, 470R, R1206, 470r-r1206, 58.17, 33.78, 0.00
R10, SMD, 82R, R1206, 82r-r1206, 58.17, 30.99, 180.00
R11, SMD, 100k, R1206, 100k-r1206, 45.15, 18.35, 180.00
R12, SMD, 10K, 1206, 10k-1206, 8.64, 51.56, 270.00
R13, SMD, 10k, R1206, 10k-r1206, 5.59, 51.56, 270.00
R14, SMD, 1K, 1206, 1k-1206, 2.48, 51.63, 270.00
U1, PTH, LM393N, DIL08, lm393n-dil08, 0.00, 0.00, 90.00
U2, PTH, MCP2515-P, DIL18, mcp2515-p-dil18, 0.00, 0.00, 90.00
U3, PTH, MCP2551-P, DIL08, mcp2551-p-dil08, 0.00, 0.00, 90.00
U4, SMD, LM317LD, SO08, lm317ld-so08, 71.88, 63.25, 0.00
U5, PTH, MAX3468CPA, DIL08, max3468cpa-dil08, 0.00, 0.00, 90.00
U6, PTH, MAX3468CPA, DIL08, max3468cpa-dil08, 0.00, 0.00, 90.00
U7, PTH, MAX3468CPA, DIL08, max3468cpa-dil08, 0.00, 0.00, 90.00
U8, PTH, 6N137, DIL08, 6n137-dil08, 0.00, 0.00, 90.00
X1, PTH, 5-pin Molex, KK-156-5, 5-pin molex-kk-156-5, 0.00, 0.00, 180.00
X2, PTH, 5-pin Molex, KK-156-5, 5-pin molex-kk-156-5, 0.00, 0.00, 180.00
X3, PTH, , MSTBV2, -mstbv2, 0.00, 0.00, 0.00
Y1, PTH, 16Mhz, RESONATOR-PTH, 16mhz-resonator-pth, 0.00, 0.00, 180.00
