# name, smd?, value, package, component, x, y, angle
C1, SMD, .1uf, 0402-CAP, .1uf-0402-cap, 65.41, 33.68, 90.00
C2, SMD, .1uf, 0402-CAP, .1uf-0402-cap, 43.82, 31.09, 180.00
C3, SMD, .1uf, 0402-CAP, .1uf-0402-cap, 43.82, 33.02, 180.00
C5, SMD, .1uF, 0402-CAP, .1uf-0402-cap, 22.23, 12.70, 270.00
C6, SMD, .1uF, 0402-CAP, .1uf-0402-cap, 41.27, 19.05, 0.00
C7, SMD, .1uF, 0402-CAP, .1uf-0402-cap, 52.71, 19.05, 0.00
D1, SMD, , SOT23-3, -sot23-3, 78.16, 13.97, 270.00
D2, SMD, , SOT23-3, -sot23-3, 23.45, 3.18, 90.00
J1, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 270.00
J2, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 90.00
J3, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 90.00
J4, PTH, RJ45, RJ45-NO-SHIELD, rj45-rj45-no-shield, 0.00, 0.00, 90.00
J5, PTH, RJ45, RJ45-NO-SHIELD, rj45-rj45-no-shield, 0.00, 0.00, 90.00
J6, PTH, 5-pin molex, KK-156-5, 5-pin molex-kk-156-5, 0.00, 0.00, 180.00
J7, PTH, 5-pin Molex, KK-156-5, 5-pin molex-kk-156-5, 0.00, 0.00, 180.00
J9, PTH, .200 2-pin, MSTBV2, .200 2-pin-mstbv2, 0.00, 0.00, 0.00
JP1, PTH, LN_TERM, 1X02, ln_term-1x02, 0.00, 0.00, 270.00
JP2, PTH, RXD-LN, 1X03, rxd-ln-1x03, 0.00, 0.00, 90.00
JP3, PTH, CAN-INT, 1X02, can-int-1x02, 0.00, 0.00, 90.00
JP4, PTH, TXD, 1X02, txd-1x02, 0.00, 0.00, 270.00
JP5, PTH, RXD, 1X03, rxd-1x03, 0.00, 0.00, 90.00
JP6, PTH, EN, 1X03, en-1x03, 0.00, 0.00, 90.00
JP7, PTH, TXD, 1X03, txd-1x03, 0.00, 0.00, 90.00
