# name, smd?, value, package, component, x, y, angle
C1, SMD, 0.01uf, 0805, 0.01uf-0805, 70.10, 34.80, 0.00
C2, SMD, 0.01uf, 0805, 0.01uf-0805, 49.78, 19.81, 0.00
C3, SMD, 0.01uf, 0805, 0.01uf-0805, 60.71, 27.69, 0.00
C4, SMD, 0.01uf, 0805, 0.01uf-0805, 26.92, 18.29, 0.00
C5, SMD, 0.01uf, 0805, 0.01uf-0805, 10.41, 16.51, 180.00
C6, SMD, 0.01uf, 0805, 0.01uf-0805, 27.18, 28.45, 0.00
D1, SMD, 1N4448WT, SOD-323, 1n4448wt-sod-323, 79.63, 12.01, 90.00
D2, SMD, 1N4448WT, SOD-323, 1n4448wt-sod-323, 16.43, 25.15, 0.00
J1, PTH, 5520250-3, RJ11-NO_SHIELD, 5520250-3-rj11-no_shield, 0.00, 0.00, 270.00
J2, PTH, 5520250-3, RJ11-NO_SHIELD, 5520250-3-rj11-no_shield, 0.00, 0.00, 90.00
J3, PTH, 5520250-3, RJ11-NO_SHIELD, 5520250-3-rj11-no_shield, 0.00, 0.00, 90.00
J4, PTH, 5520426-4, RJ45-NO-SHIELD, 5520426-4-rj45-no-shield, 0.00, 0.00, 90.00
J5, PTH, 5520426-4, RJ45-NO-SHIELD, 5520426-4-rj45-no-shield, 0.00, 0.00, 90.00
J6, PTH, KK-156-5, KK-156-5, kk-156-5-kk-156-5, 0.00, 0.00, 180.00
J7, PTH, KK-156-5, KK-156-5, kk-156-5-kk-156-5, 0.00, 0.00, 180.00
J8, PTH, MSTB-02, MSTBV2, mstb-02-mstbv2, 0.00, 0.00, 90.00
JP1, PTH, LN-TERM, 1X02_LOCK, ln-term-1x02_lock, 0.00, 0.00, 180.00
JP2, PTH, RXD-LN, 1X03, rxd-ln-1x03, 0.00, 0.00, 0.00
JP3, PTH, RxD, 1X03, rxd-1x03, 0.00, 0.00, 180.00
JP4, PTH, EN, 1X03, en-1x03, 0.00, 0.00, 180.00
JP5, PTH, TxD, 1X03, txd-1x03, 0.00, 0.00, 180.00
JP6, PTH, MA04-2, MA04-2, ma04-2-ma04-2, 0.00, 0.00, 0.00
JP7, PTH, LNTX, 1X02_LOCK, lntx-1x02_lock, 0.00, 0.00, 180.00
JP8, PTH, CANPWR, 1X02_LOCK, canpwr-1x02_lock, 0.00, 0.00, 180.00
JP9, PTH, NCEPWR, 1X02_LOCK, ncepwr-1x02_lock, 0.00, 0.00, 270.00
L1, SMD, ZJYS51R5-2P, ZJYS, zjys51r5-2p-zjys, 74.35, 22.80, 180.00
LED1, SMD, Blue, CHIP-LED0805, blue-chip-led0805, 21.84, 76.71, 270.00
LED2, SMD, Gold, CHIP-LED0805, gold-chip-led0805, 34.29, 76.71, 270.00
LED3, SMD, Green, CHIP-LED0805, green-chip-led0805, 58.17, 76.71, 270.00
LED4, SMD, Green, CHIP-LED0805, green-chip-led0805, 70.87, 76.71, 270.00
LED5, SMD, DCC, CHIP-LED0805, dcc-chip-led0805, 5.59, 76.71, 270.00
LED6, SMD, Loconet, CHIP-LED0805, loconet-chip-led0805, 10.92, 76.71, 270.00
Q1, SMD, PMBT2222, SOT23-3, pmbt2222-sot23-3, 69.60, 52.02, 180.00
R1, SMD, 4k7, R0805, 4k7-r0805, 77.47, 53.09, 180.00
R2, SMD, 18R, R0805, 18r-r0805, 64.77, 54.10, 180.00
R3, SMD, 27k, R0805, 27k-r0805, 60.45, 51.31, 0.00
R4, SMD, 39k, R0805, 39k-r0805, 60.45, 48.51, 180.00
R5, SMD, 47k, R0805, 47k-r0805, 60.45, 45.72, 180.00
R6, SMD, 150k, R0805, 150k-r0805, 60.45, 42.93, 180.00
R7, SMD, 240k, R0805, 240k-r0805, 60.45, 40.13, 180.00
R8, SMD, 1k, R0805, 1k-r0805, 60.45, 37.34, 0.00
R9, SMD, 1k, R0805, 1k-r0805, 60.45, 34.54, 0.00
R10, SMD, 82R, R0805, 82r-r0805, 60.45, 31.75, 180.00
R11, SMD, 100k, R0805, 100k-r0805, 53.91, 21.53, 90.00
R12, SMD, 10K, R0805, 10k-r0805, 8.89, 48.26, 270.00
R13, SMD, 10k, R0805, 10k-r0805, 44.20, 19.56, 0.00
R14, SMD, 1k, R0805, 1k-r0805, 5.08, 48.26, 270.00
R15, SMD, 660R, 0805, 660r-0805, 18.03, 76.71, 0.00
R16, SMD, 660R, 0805, 660r-0805, 29.54, 76.71, 180.00
R17, SMD, 660R, 0805, 660r-0805, 43.21, 76.68, 180.00
R18, SMD, 660R, 0805, 660r-0805, 66.12, 76.71, 180.00
R19, SMD, 660R, 0805, 660r-0805, 26.39, 75.82, 90.00
R20, SMD, 660R, 0805, 660r-0805, 39.17, 75.82, 90.00
R21, SMD, 660R, 0805, 660r-0805, 62.84, 75.82, 90.00
R22, SMD, 660R, 0805, 660r-0805, 75.67, 75.82, 90.00
