# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.01uf,0805,0.01uf-0805,80.77,52.07,0.00,0.00
C2,SMD,0.01uf,0805,0.01uf-0805,58.42,30.48,0.00,0.00
C3,SMD,0.01uf,0805,0.01uf-0805,66.04,32.00,0.00,0.00
C4,SMD,0.01uf,0805,0.01uf-0805,26.67,19.05,0.00,0.00
C5,SMD,0.01uf,0805,0.01uf-0805,5.84,21.59,90.00,-90.00
C6,SMD,0.01uf,0805,0.01uf-0805,26.67,29.21,0.00,0.00
D1,SMD,BAV199,SOT23,bav199-sot23,80.52,12.95,270.00,90.00
D2,SMD,BAV199,SOT23,bav199-sot23,19.81,30.23,0.00,0.00
F1,PTH,PTCPTH,PTC,ptcpth-ptc,0.00,0.00,0.00,0.00
J1,PTH,5520250-3,RJ11-NO_SHIELD,5520250-3-rj11-no_shield,0.00,0.00,270.00,90.00
J2,PTH,5520250-3,RJ11-NO_SHIELD,5520250-3-rj11-no_shield,0.00,0.00,90.00,-90.00
J3,PTH,5520250-3,RJ11-NO_SHIELD,5520250-3-rj11-no_shield,0.00,0.00,90.00,-90.00
J4,PTH,5520426-4,RJ45-NO-SHIELD,5520426-4-rj45-no-shield,0.00,0.00,90.00,-90.00
J5,PTH,5520426-4,RJ45-NO-SHIELD,5520426-4-rj45-no-shield,0.00,0.00,90.00,-90.00
J6,PTH,KK-156-5,KK-156-5,kk-156-5-kk-156-5,0.00,0.00,180.00,-180.00
J7,PTH,KK-156-5,KK-156-5,kk-156-5-kk-156-5,0.00,0.00,180.00,-180.00
J8,PTH,MSTB-02,MSTBV2,mstb-02-mstbv2,0.00,0.00,90.00,-90.00
JP1,PTH,LN-TERM,1X02_LOCK,ln-term-1x02_lock,0.00,0.00,180.00,-180.00
JP2,PTH,CMRI Shield,1X02_LOCK,cmri shield-1x02_lock,0.00,0.00,270.00,90.00
JP8,PTH,CANPWR,1X02_LOCK,canpwr-1x02_lock,0.00,0.00,180.00,-180.00
JP9,PTH,NCEPWR,1X02_LOCK,ncepwr-1x02_lock,0.00,0.00,270.00,90.00
L1,SMD,ZJYS51R5-2P,ZJYS,zjys51r5-2p-zjys,75.87,28.13,180.00,-180.00
LED1,SMD,Blue,CHIP-LED0805,blue-chip-led0805,28.19,77.22,270.00,90.00
LED2,SMD,Gold,CHIP-LED0805,gold-chip-led0805,40.64,77.22,270.00,90.00
LED3,SMD,Green,CHIP-LED0805,green-chip-led0805,54.61,77.22,270.00,90.00
LED4,SMD,Green,CHIP-LED0805,green-chip-led0805,67.31,77.22,270.00,90.00
LED5,SMD,Yellow,CHIP-LED0805,yellow-chip-led0805,2.54,73.66,0.00,0.00
LED6,SMD,Blue,CHIP-LED0805,blue-chip-led0805,95.25,72.39,90.00,-90.00
Q1,SMD,PMBT2222,SOT23-3,pmbt2222-sot23-3,67.26,59.69,90.00,-90.00
R1,SMD,4k7,R0805,4k7-r0805,73.66,58.42,180.00,-180.00
R2,SMD,18R,R0805,18r-r0805,73.66,62.23,0.00,0.00
R3,SMD,27k,R0805,27k-r0805,80.77,69.85,0.00,0.00
R4,SMD,39k,R0805,39k-r0805,80.77,66.80,180.00,-180.00
R5,SMD,47k,R0805,47k-r0805,80.77,57.66,0.00,0.00
