# SPCoast,John Plocher,SignalHead Single CL Panel,2024-01,v1.3,PCBWay,,,
# name, smd?, value, package, Manufacturer,Part Number, x, y, Eagle-Angle
LED1X11,SMD,R,0603-LED,Kingsbright,APT1608SURCK,19.23,38.10,0.00
LED1X12,SMD,R,0603-LED,Kingsbright,APT1608SURCK,19.23,86.36,0.00
LED1X21,SMD,R,0603-LED,Kingsbright,APT1608SURCK,32.06,38.10,0.00
LED1X22,SMD,R,0603-LED,Kingsbright,APT1608SURCK,32.06,86.36,0.00
LED1X31,SMD,R,0603-LED,Kingsbright,APT1608SURCK,44.88,38.10,0.00
LED1X32,SMD,R,0603-LED,Kingsbright,APT1608SURCK,44.88,86.36,0.00
LED1X41,SMD,R,0603-LED,Kingsbright,APT1608SURCK,57.71,38.10,0.00
LED1X42,SMD,R,0603-LED,Kingsbright,APT1608SURCK,57.71,86.36,0.00
LED1X51,SMD,R,0603-LED,Kingsbright,APT1608SURCK,70.54,38.10,0.00
LED1X52,SMD,R,0603-LED,Kingsbright,APT1608SURCK,70.54,86.36,0.00
LED1X61,SMD,R,0603-LED,Kingsbright,APT1608SURCK,83.37,38.10,0.00
LED1X62,SMD,R,0603-LED,Kingsbright,APT1608SURCK,83.37,86.36,0.00
LED2X11,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,19.18,40.64,0.00
LED2X12,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,19.18,88.90,0.00
LED2X21,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,32.01,40.64,0.00
LED2X22,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,32.01,88.90,0.00
LED2X31,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,44.84,40.64,0.00
LED2X32,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,44.84,88.90,0.00
LED2X41,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,57.66,40.64,0.00
LED2X42,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,57.66,88.90,0.00
LED2X51,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,70.49,40.64,0.00
LED2X52,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,70.49,88.90,0.00
LED2X61,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,83.32,40.64,0.00
LED2X62,SMD,Y,0603-LED,Kingsbright,APT1608SYCK,83.32,88.90,0.00
LED3X11,SMD,G,0603-LED,Kingsbright,APT1608SGC,19.15,43.18,0.00
LED3X12,SMD,G,0603-LED,Kingsbright,APT1608SGC,19.15,91.44,0.00
LED3X21,SMD,G,0603-LED,Kingsbright,APT1608SGC,31.98,43.18,0.00
LED3X22,SMD,G,0603-LED,Kingsbright,APT1608SGC,31.98,91.44,0.00
LED3X31,SMD,G,0603-LED,Kingsbright,APT1608SGC,44.80,43.18,0.00
LED3X32,SMD,G,0603-LED,Kingsbright,APT1608SGC,44.80,91.44,0.00
LED3X41,SMD,G,0603-LED,Kingsbright,APT1608SGC,57.63,43.18,0.00
LED3X42,SMD,G,0603-LED,Kingsbright,APT1608SGC,57.63,91.44,0.00
LED3X51,SMD,G,0603-LED,Kingsbright,APT1608SGC,70.46,43.18,0.00
LED3X52,SMD,G,0603-LED,Kingsbright,APT1608SGC,70.46,91.44,0.00
LED3X61,SMD,G,0603-LED,Kingsbright,APT1608SGC,83.29,43.18,0.00
LED3X62,SMD,G,0603-LED,Kingsbright,APT1608SGC,83.29,91.44,0.00
