# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1X11,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,6.35,1.83,0.00,0.00
CON1X12,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,69.85,98.18,180.00,-180.00
CON1X21,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,19.05,1.83,0.00,0.00
CON1X22,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,57.15,98.18,180.00,-180.00
CON1X31,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,31.75,1.83,0.00,0.00
CON1X32,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,44.45,98.18,180.00,-180.00
CON1X41,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,44.45,1.83,0.00,0.00
CON1X42,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,31.75,98.18,180.00,-180.00
CON1X51,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,57.15,1.83,0.00,0.00
CON1X52,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,19.05,98.18,180.00,-180.00
CON1X61,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,69.85,1.83,0.00,0.00
CON1X62,SMD,2x3-0.100,2X3-SMD_EDGE,2x3-0.100-2x3-smd_edge,6.35,98.18,180.00,-180.00
LED1X11,SMD,RGB,APA102,rgb-apa102,4.45,42.93,0.00,0.00
LED1X12,SMD,RGB,APA102,rgb-apa102,71.76,57.07,180.00,-180.00
LED1X21,SMD,RGB,APA102,rgb-apa102,17.14,42.93,0.00,0.00
LED1X22,SMD,RGB,APA102,rgb-apa102,59.05,57.07,180.00,-180.00
LED1X31,SMD,RGB,APA102,rgb-apa102,29.85,42.93,0.00,0.00
LED1X32,SMD,RGB,APA102,rgb-apa102,46.36,57.07,180.00,-180.00
LED1X41,SMD,RGB,APA102,rgb-apa102,42.55,42.93,0.00,0.00
LED1X42,SMD,RGB,APA102,rgb-apa102,33.66,57.07,180.00,-180.00
LED1X51,SMD,RGB,APA102,rgb-apa102,55.25,42.93,0.00,0.00
LED1X52,SMD,RGB,APA102,rgb-apa102,20.96,57.07,180.00,-180.00
LED1X61,SMD,RGB,APA102,rgb-apa102,67.95,42.93,0.00,0.00
LED1X62,SMD,RGB,APA102,rgb-apa102,8.26,57.07,180.00,-180.00
