# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,15.24,9.53,180.00,-180.00
C2,SMD,1uF,0603-CAP,1uf-0603-cap,15.24,7.62,180.00,-180.00
C3,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,25.40,5.71,0.00,0.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,30.48,9.53,0.00,0.00
D1,SMD,BAT54A,SOT23,bat54a-sot23,20.32,4.45,90.00,-90.00
D2,SMD,BAT54A,SOT23,bat54a-sot23,30.48,22.86,270.00,90.00
D3,SMD,BAT54C,SOT23,bat54c-sot23,30.48,18.41,90.00,-90.00
D4,SMD,BAT54C,SOT23,bat54c-sot23,30.48,14.61,270.00,90.00
FID1,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,1.27,25.40,0.00,0.00
FID2,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,48.26,1.27,0.00,0.00
IC1,SMD,LM358D,SO-8,lm358d-so-8,35.56,6.60,270.00,90.00
J1,PTH,,KK-156-5,-kk-156-5,0.00,0.00,90.00,-90.00
J2,PTH,,1X05,-1x05,0.00,0.00,90.00,-90.00
LED1,SMD,Y,0603-LED,y-0603-led,46.99,13.97,270.00,90.00
Q1,SMD,2N7002,SOT23,2n7002-sot23,15.37,4.45,90.00,-90.00
R1,SMD,2.2M,0603-RES,2.2m-0603-res,20.32,9.53,0.00,0.00
R2,SMD,10k,0603-RES,10k-0603-res,20.32,7.62,0.00,0.00
R3,SMD,10k,0603-RES,10k-0603-res,25.40,11.43,180.00,-180.00
R4,SMD,200R,0603-RES,200r-0603-res,25.40,9.53,180.00,-180.00
R5,SMD,1M,0603-RES,1m-0603-res,25.40,7.62,180.00,-180.00
R6,SMD,10k,0603-RES,10k-0603-res,30.48,11.43,180.00,-180.00
R7,SMD,3.3k,0603-RES,3.3k-0603-res,35.56,15.37,180.00,-180.00
R8,SMD,1M,0603-RES,1m-0603-res,35.56,13.34,180.00,-180.00
R9,SMD,10k,TC33X,10k-tc33x,45.72,21.81,0.00,0.00
R10,SMD,10k,0603-RES,10k-0603-res,43.18,15.24,180.00,-180.00
U$5,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
U$6,PTH,MOUNTINGHOLEL,MOUNTINGHOLE-L,mountingholel-mountinghole-l,0.00,0.00,0.00,0.00
X1,PTH,,TH-T4B,-th-t4b,0.00,0.00,0.00,0.00
X2,SMD,,M5300,-m5300,19.69,18.80,90.00,-90.00
