# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,15.88,16.76,180.00,-180.00
C1X12,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,15.88,44.70,180.00,-180.00
C1X13,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,15.88,72.64,180.00,-180.00
C1X21,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,65.88,16.76,180.00,-180.00
C1X22,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,65.88,44.70,180.00,-180.00
C1X23,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,65.88,72.64,180.00,-180.00
C2X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,26.04,12.95,0.00,0.00
C2X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,26.04,40.89,0.00,0.00
C2X13,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,26.04,68.83,0.00,0.00
C2X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,76.03,12.95,0.00,0.00
C2X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,76.03,40.89,0.00,0.00
C2X23,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,76.03,68.83,0.00,0.00
C3X11,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,31.12,16.76,0.00,0.00
C3X12,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,31.12,44.70,0.00,0.00
C3X13,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,31.12,72.64,0.00,0.00
C3X21,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,81.12,16.76,0.00,0.00
C3X22,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,81.12,44.70,0.00,0.00
C3X23,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,81.12,72.64,0.00,0.00
C4X11,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,31.12,11.05,180.00,-180.00
C4X12,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,31.12,38.99,180.00,-180.00
